scope,p0,N,k,coverage,cov_lo95,cov_hi95,pinball
forecast,0.05,500,116,0.232,0.19712923845271468,0.2709574080346774,0.8353376169175073
forecast,0.5,500,302,0.604,0.5604958406867544,0.6459182964972427,1.9586234055203817
forecast,0.95,500,446,0.892,0.8617453267151934,0.9162771903629497,0.5401527324091597
train,0.05,4400,136,0.03090909090909091,0.026190316948731307,0.03644623829514475,0.2528643381666574
train,0.5,4400,2188,0.49727272727272726,0.48250798631870184,0.5120422262117856,1.1249137406280096
train,0.95,4400,4237,0.9629545454545455,0.956957803519566,0.9681436194301551,0.2623388195820595
