scope,p0,N,k,coverage,cov_lo95,cov_hi95,pinball
forecast,0.05,500,222,0.444,0.4010408191814197,0.4878131069502743,2.483479846061779
forecast,0.5,500,316,0.632,0.588871722496907,0.6731154516212433,3.0643665843067462
forecast,0.95,500,449,0.898,0.868365377095774,0.9215656478968306,0.8010764066359909
train,0.05,4000,77,0.01925,0.015430305811551068,0.023992198911496912,0.2261997099447561
train,0.5,4000,2004,0.501,0.48551163070539516,0.5164864504080254,1.0218154023988153
train,0.95,4000,3917,0.97925,0.9743509553231157,0.9832294182837055,0.2347321260596899
