scope,p0,N,k,coverage,cov_lo95,cov_hi95,pinball
forecast,0.05,500,231,0.462,0.41875629515879303,0.505823154716285,2.6419733653138353
forecast,0.5,500,316,0.632,0.588871722496907,0.6731154516212433,3.057846587495265
forecast,0.95,500,445,0.89,0.8595444295965924,0.9145085848433969,0.8263988530543199
train,0.05,4000,117,0.02925,0.024462684039713724,0.03494063181754023,0.21848484765746554
train,0.5,4000,1997,0.49925,0.4837632961926223,0.5147381429723125,1.0211686330811285
train,0.95,4000,3880,0.97,0.9642459356773666,0.9748521876303141,0.22757784570283174
