"manifest_kind","row_id","original_case_key","family","tau_label","fit_size","model","inference","config_path","before_n_burn","after_n_burn","before_n_mcmc","after_n_mcmc","before_slice_width","after_slice_width","after_slice_max_steps","after_mh_proposal","after_joint_sample","laplace_refresh_interval","laplace_refresh_start","laplace_refresh_weight","sigmagam_freeze_burnin_iters","theta_freeze_burnin_iters","latent_freeze_burnin_iters","latent_mode","overlay_id","dry_run"
"smoke",20,"dynamic::gausmix::0p50::500::default::exdqlm::mcmc","gausmix","0p50",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0020_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"smoke",44,"dynamic::laplace::0p50::500::default::exdqlm::mcmc","laplace","0p50",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0044_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"smoke",68,"dynamic::normal::0p50::500::default::exdqlm::mcmc","normal","0p50",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0068_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",4,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","gausmix","0p05",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0004_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","gausmix","0p25",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0012_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",20,"dynamic::gausmix::0p50::500::default::exdqlm::mcmc","gausmix","0p50",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0020_run_config.rds",10000,10000,20000,20000,0.25,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",28,"dynamic::laplace::0p05::500::default::exdqlm::mcmc","laplace","0p05",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0028_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",36,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","laplace","0p25",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0036_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",44,"dynamic::laplace::0p50::500::default::exdqlm::mcmc","laplace","0p50",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0044_run_config.rds",10000,10000,20000,20000,0.25,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
"full",52,"dynamic::normal::0p05::500::default::exdqlm::mcmc","normal","0p05",500,"exdqlm","mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0052_run_config.rds",5000,10000,20000,20000,0.1,0.25,"Inf","laplace_rw",TRUE,10,50,0.9,250,250,250,"u_st_pair","dynamic_exdqlm_mcmc_tt500_laplace_rw_refresh_repair_v2",FALSE
