"row_id","original_case_key","family","tau_label","fit_size","model","inference","status_current","gate_current","retry_reason","error_current","candidate_fit_path","vb_init_fit_path"
42,"dynamic::laplace::0p50::500::default::dqlm::mcmc","laplace","0p50",500,"dqlm","mcmc","running","MISSING","stale_running_without_worker","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_vb_init.rds"
44,"dynamic::laplace::0p50::500::default::exdqlm::mcmc","laplace","0p50",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0044_dynamic_laplace_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0044_dynamic_laplace_0p50_500_default_exdqlm_mcmc_vb_init.rds"
46,"dynamic::laplace::0p50::5000::default::dqlm::mcmc","laplace","0p50",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_vb_init.rds"
48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","laplace","0p50",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_vb_init.rds"
50,"dynamic::normal::0p05::500::default::dqlm::mcmc","normal","0p05",500,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0050_dynamic_normal_0p05_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0050_dynamic_normal_0p05_500_default_dqlm_mcmc_vb_init.rds"
52,"dynamic::normal::0p05::500::default::exdqlm::mcmc","normal","0p05",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0052_dynamic_normal_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0052_dynamic_normal_0p05_500_default_exdqlm_mcmc_vb_init.rds"
54,"dynamic::normal::0p05::5000::default::dqlm::mcmc","normal","0p05",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_vb_init.rds"
56,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","normal","0p05",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_vb_init.rds"
58,"dynamic::normal::0p25::500::default::dqlm::mcmc","normal","0p25",500,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0058_dynamic_normal_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0058_dynamic_normal_0p25_500_default_dqlm_mcmc_vb_init.rds"
60,"dynamic::normal::0p25::500::default::exdqlm::mcmc","normal","0p25",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0060_dynamic_normal_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0060_dynamic_normal_0p25_500_default_exdqlm_mcmc_vb_init.rds"
62,"dynamic::normal::0p25::5000::default::dqlm::mcmc","normal","0p25",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_vb_init.rds"
64,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","normal","0p25",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_vb_init.rds"
66,"dynamic::normal::0p50::500::default::dqlm::mcmc","normal","0p50",500,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0066_dynamic_normal_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0066_dynamic_normal_0p50_500_default_dqlm_mcmc_vb_init.rds"
68,"dynamic::normal::0p50::500::default::exdqlm::mcmc","normal","0p50",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0068_dynamic_normal_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0068_dynamic_normal_0p50_500_default_exdqlm_mcmc_vb_init.rds"
70,"dynamic::normal::0p50::5000::default::dqlm::mcmc","normal","0p50",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_vb_init.rds"
72,"dynamic::normal::0p50::5000::default::exdqlm::mcmc","normal","0p50",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_vb_init.rds"
