seed,method,prior,status,elapsed_sec,rmse,mae,beta_l2,sigma_hat,gamma_hat,rhs_tau_mean,rhs_c2_mean,message
1101,vb,rhs,ok,9.168,0.546335090397995,0.452653229568938,1.04125326108392,,,,,""
1101,vb,rhs_ns,ok,2.561,0.552072708833115,0.453951908295248,1.04756391981298,,,,,""
1101,mcmc,rhs,ok,36.872,0.54510179770756,0.444761976033439,1.00554412933789,0.170467886612318,0.101709184981527,0.0713066728035556,2.14482301951833,""
1101,mcmc,rhs_ns,ok,10.021,0.552645201366692,0.453167993431833,1.08397277878571,0.161489421336432,0.195590243828829,0.0687573625548067,0.194895404267528,""
2202,vb,rhs,ok,5.271,0.595177768374323,0.414889367995901,1.03096226388868,,,,,""
2202,vb,rhs_ns,ok,0.560999999999993,0.550725372012937,0.375250678187655,1.02939094454999,,,,,""
2202,mcmc,rhs,ok,31.672,0.549019218248108,0.383002248952447,1.17396712969199,0.202849682829231,-0.148969317512532,0.0481019471424405,2.0114177780908,""
2202,mcmc,rhs_ns,ok,8.732,0.556185555969191,0.379907436499113,1.04153503386957,0.20869916928432,-0.142391883575761,0.0548527156128105,0.191258979163078,""
3303,vb,rhs,ok,8.93799999999999,0.50176363978021,0.416005565037322,1.0877206119966,,,,,""
3303,vb,rhs_ns,ok,0.615999999999985,0.48160493234414,0.382235298624073,1.10216661411432,,,,,""
3303,mcmc,rhs,ok,33.124,0.484376625912675,0.382778621352079,1.14603708308389,0.222333634940993,-0.0237563799878602,0.0950457772150675,1.76656082859975,""
3303,mcmc,rhs_ns,ok,8.702,0.483367208655089,0.385332419706393,1.09138418986967,0.228746566239809,-0.0211401519824062,0.0703063263158408,0.199585731457325,""
