"inference","total","pass","warn","fail","healthy_true","healthy_false","pct_pass","pct_warn","pct_fail","runtime_sec_total","runtime_sec_mean","runtime_sec_median"
"mcmc",144,107,31,6,138,6,74.3,21.5,4.2,157433.554,1639.933,61.492
"vb",144,123,21,0,144,0,85.4,14.6,0,12968.637,158.154,13.838
