"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.al","healthy.al","gate_rank_num.al","runtime_sec.al","selected_pool.al","selected_candidate.al","gate_overall.exal","healthy.exal","gate_rank_num.exal","runtime_sec.exal","selected_pool.exal","selected_candidate.exal","gate_delta_exal_minus_al","gate_comparison","runtime_ratio_exal_over_al","faster_method"
"static_paper::normal::0p25::100::paper","root__static_paper__normal__tau_0p25__tt_100","static_paper","static_paper","normal","0p25",100,"paper","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,13.665,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_paper::normal::0p25::1000::paper","root__static_paper__normal__tau_0p25__tt_1000","static_paper","static_paper","normal","0p25",1000,"paper","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,138.084,"hybrid_291_selection","F0825_sub2_s105_none",0,"tie",,
"static_paper::normal::0p25::1000::paper","root__static_paper__normal__tau_0p25__tt_1000","static_paper","static_paper","normal","0p25",1000,"paper","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,15.414,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_paper::normal::0p95::100::paper","root__static_paper__normal__tau_0p95__tt_100","static_paper","static_paper","normal","0p95",100,"paper","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,52.908,"hybrid_291_selection","F080_sub2_s105",-1,"al_better",,
"static_paper::normal::0p95::100::paper","root__static_paper__normal__tau_0p95__tt_100","static_paper","static_paper","normal","0p95",100,"paper","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,13.317,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_paper::normal::0p95::1000::paper","root__static_paper__normal__tau_0p95__tt_1000","static_paper","static_paper","normal","0p95",1000,"paper","mcmc","PASS",TRUE,1,9.809,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
"static_paper::normal::0p95::1000::paper","root__static_paper__normal__tau_0p95__tt_1000","static_paper","static_paper","normal","0p95",1000,"paper","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,12.269,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p05::100::rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","static_shrink","static_shrink","gausmix","0p05",100,"rhs","mcmc","PASS",TRUE,1,7.02,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,160.225,"hybrid_291_selection","F080_sub2_s105",0,"tie",22.824074,"al"
"static_shrink::gausmix::0p05::100::rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","static_shrink","static_shrink","gausmix","0p05",100,"rhs","vb","PASS",TRUE,1,0.992999999999999,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,11.883,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",11.966767,"al"
"static_shrink::gausmix::0p05::100::ridge","root__static_shrink__gausmix__tau_0p05__tt_100__ridge","static_shrink","static_shrink","gausmix","0p05",100,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,54.619,"hybrid_291_selection","F080_sub2_s105",0,"tie",,
