"root_kind","prior_semantics","model","inference","total","completed","running","not_started","pass","warn","fail","healthy","pct_completed","pct_active_or_done"
"dynamic","default","dqlm","mcmc",18,0,0,18,0,0,0,0,0,0
"dynamic","default","dqlm","vb",18,0,0,18,0,0,0,0,0,0
"dynamic","default","exdqlm","mcmc",18,0,0,18,0,0,0,0,0,0
"dynamic","default","exdqlm","vb",18,0,0,18,0,0,0,0,0,0
"static_paper","paper","al","mcmc",18,0,0,18,0,0,0,0,0,0
"static_paper","paper","al","vb",18,0,0,18,0,0,0,0,0,0
"static_paper","paper","exal","mcmc",18,0,0,18,0,0,0,0,0,0
"static_paper","paper","exal","vb",18,0,0,18,0,0,0,0,0,0
"static_shrink","rhs_ns","al","mcmc",18,0,0,18,0,0,0,0,0,0
"static_shrink","rhs_ns","al","vb",18,0,0,18,0,0,0,0,0,0
"static_shrink","rhs_ns","exal","mcmc",18,0,0,18,0,0,0,0,0,0
"static_shrink","rhs_ns","exal","vb",18,0,0,18,0,0,0,0,0,0
"static_shrink","ridge","al","mcmc",18,0,0,18,0,0,0,0,0,0
"static_shrink","ridge","al","vb",18,0,0,18,0,0,0,0,0,0
"static_shrink","ridge","exal","mcmc",18,0,0,18,0,0,0,0,0,0
"static_shrink","ridge","exal","vb",18,0,0,18,0,0,0,0,0,0
