"root_kind","inference","total","done","missing","pass","warn","fail","healthy","matches_accepted","better_than_accepted","worse_than_accepted","pending_compare"
"dynamic","mcmc",30,0,30,0,0,0,0,0,0,0,30
"dynamic","vb",36,0,36,0,0,0,0,0,0,0,36
"static_paper","mcmc",36,0,36,0,0,0,0,0,0,0,36
"static_paper","vb",36,0,36,0,0,0,0,0,0,0,36
"static_shrink","mcmc",72,0,72,0,0,0,0,0,0,0,72
"static_shrink","vb",72,0,72,0,0,0,0,0,0,0,72
