"case_key","scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","model","method_id","selected_pool","selected_pool_group","selected_candidate","selected_variant_tag","selected_source_subtype","gate_overall","healthy","runtime_sec","diagnostic_source_type","signoff_reason","selection_reason","selected_fit_path_rel","selected_health_path_rel","selected_summary_path_rel"
"dynamic::gausmix::0p25::500::default::dqlm::vb","dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","vb","dqlm","vb__dqlm","baseline_original","baseline","baseline","baseline","baseline_original","PASS",TRUE,,"method_signoff_long","vb_converged; stable_tail","Baseline original fit already healthy and no promoted candidate was required.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p25_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv",""
"dynamic::gausmix::0p25::500::default::exdqlm::vb","dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","vb","exdqlm","vb__exdqlm","syncedbase_faithful_replay_20260407","promoted","row_0006","orig288_sync0p4p0_faithful_20260407","phase1_vb_all","PASS",TRUE,135.082,"candidate_health_csv","","Promote synced-base faithful replay row row_0006 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base.","results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv"
"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","mcmc","dqlm","mcmc__dqlm","dynamic_summary_csv","promoted","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","dynamic_archive_summary","PASS",TRUE,9779.123,"summary_row_csv","","Promoted `adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823` because it improved the original baseline gate from `WARN` to `PASS`.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p25_fit_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823_dqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.csv"
"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","mcmc","exdqlm","mcmc__exdqlm","hybrid_291_selection","promoted","row15_slice_exact_20260405","row15_slice_exact_20260405","dynamic_local_override","WARN",TRUE,5809.576,"summary_row_csv","","Promoted `row15_slice_exact_20260405` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_row15_slice_exact_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_row15_slice_exact_20260405_exdqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_row15_slice_exact_20260405.csv"
"dynamic::gausmix::0p25::5000::default::dqlm::vb","dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","vb","dqlm","vb__dqlm","baseline_original","baseline","baseline","baseline","baseline_original","PASS",TRUE,,"method_signoff_long","vb_converged; stable_tail","Baseline original fit already healthy and no promoted candidate was required.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p25_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv",""
"dynamic::gausmix::0p25::5000::default::exdqlm::vb","dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","vb","exdqlm","vb__exdqlm","syncedbase_faithful_replay_20260407","promoted","row_0008","orig288_sync0p4p0_faithful_20260407","phase1_vb_all","PASS",TRUE,552.729,"candidate_health_csv","","Promote synced-base faithful replay row row_0008 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base.","results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv"
"dynamic::gausmix::0p95::500::default::dqlm::mcmc","dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","mcmc","dqlm","mcmc__dqlm","dynamic_archive_rescore_20260405","promoted","archive_existing","rhsns_full_relaunch_20260327","archive_rescore_existing","PASS",TRUE,901.878,"candidate_health_csv","","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p95_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0010.csv",""
"dynamic::gausmix::0p95::500::default::exdqlm::mcmc","dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","mcmc","exdqlm","mcmc__exdqlm","dynamic_tail8_20260405","promoted","mcmc_exdqlm_slice_sync","orig288_dyn_tail8_slice_sync_20260405","anchor8_slice_sync","PASS",TRUE,475.721,"candidate_health_csv","","Promote dynamic tail-8 candidate orig288_dyn_tail8_slice_sync_20260405 from phase anchor8_slice_sync after improving original baseline from FAIL to PASS.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_orig288_dyn_tail8_slice_sync_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail8_20260405/health/health_0003.csv",""
"dynamic::gausmix::0p95::500::default::dqlm::vb","dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","vb","dqlm","vb__dqlm","baseline_original","baseline","baseline","baseline","baseline_original","PASS",TRUE,,"method_signoff_long","vb_converged; stable_tail","Baseline original fit already healthy and no promoted candidate was required.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p95_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv",""
"dynamic::gausmix::0p95::500::default::exdqlm::vb","dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","vb","exdqlm","vb__exdqlm","syncedbase_faithful_replay_20260407","promoted","row_0010","orig288_sync0p4p0_faithful_20260407","phase1_vb_all","PASS",TRUE,168.768,"candidate_health_csv","","Promote synced-base faithful replay row row_0010 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base.","results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv"
