"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","model","gate_overall.mcmc","healthy.mcmc","gate_rank_num.mcmc","runtime_sec.mcmc","selected_pool.mcmc","selected_candidate.mcmc","gate_overall.vb","healthy.vb","gate_rank_num.vb","runtime_sec.vb","selected_pool.vb","selected_candidate.vb","gate_delta_mcmc_minus_vb","gate_comparison","runtime_ratio_mcmc_over_vb","faster_method"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","dqlm","PASS",TRUE,1,449.166,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","WARN",TRUE,2,936.98,"dynamic_tail7_rw_20260406","mcmc_exdqlm_rw_refresh_tt500","PASS",TRUE,1,631.985,"syncedbase_faithful_replay_20260407","row_0002",-1,"vb_better",1.482598,"vb"
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","PASS",TRUE,1,6321.724,"hybrid_291_selection","dynamic_tail_cppgig_refresh_20260331","PASS",TRUE,1,363.593,"syncedbase_faithful_replay_20260407","row_0003",0,"tie",17.386814,"vb"
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","FAIL",FALSE,3,,"baseline_original","baseline","WARN",TRUE,2,1440.065,"dynamic_archive_rescore_20260405","archive_existing",-1,"vb_better",,
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","dqlm","PASS",TRUE,1,903.497,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","FAIL",FALSE,3,,"baseline_original","baseline","PASS",TRUE,1,135.082,"syncedbase_faithful_replay_20260407","row_0006",-2,"vb_better",,
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","PASS",TRUE,1,9779.123,"dynamic_summary_csv","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","WARN",TRUE,2,5809.576,"hybrid_291_selection","row15_slice_exact_20260405","PASS",TRUE,1,552.729,"syncedbase_faithful_replay_20260407","row_0008",-1,"vb_better",10.510713,"vb"
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","dqlm","PASS",TRUE,1,901.878,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","PASS",TRUE,1,475.721,"dynamic_tail8_20260405","mcmc_exdqlm_slice_sync","PASS",TRUE,1,168.768,"syncedbase_faithful_replay_20260407","row_0010",0,"tie",2.818787,"vb"
"dynamic::gausmix::0p95::5000::default","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic","dynamic","gausmix","0p95",5000,"default","dqlm","PASS",TRUE,1,19384.026,"dynamic_summary_csv","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","PASS",TRUE,1,428.993,"syncedbase_faithful_replay_20260407","row_0011",0,"tie",45.184947,"vb"
"dynamic::gausmix::0p95::5000::default","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic","dynamic","gausmix","0p95",5000,"default","exdqlm","PASS",TRUE,1,1945.455,"syncedbase_faithful_replay_20260407","row_0262","PASS",TRUE,1,974.438,"syncedbase_faithful_replay_20260407","row_0012",0,"tie",1.996489,"vb"
"dynamic::laplace::0p05::500::default","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic","dynamic","laplace","0p05",500,"default","dqlm","PASS",TRUE,1,444.656,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::laplace::0p05::500::default","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic","dynamic","laplace","0p05",500,"default","exdqlm","FAIL",FALSE,3,,"baseline_original","baseline","PASS",TRUE,1,645.386,"syncedbase_faithful_replay_20260407","row_0014",-2,"vb_better",,
"dynamic::laplace::0p05::5000::default","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic","dynamic","laplace","0p05",5000,"default","dqlm","PASS",TRUE,1,1785.524,"syncedbase_faithful_replay_20260407","row_0264","PASS",TRUE,1,361.245,"syncedbase_faithful_replay_20260407","row_0015",0,"tie",4.942695,"vb"
"dynamic::laplace::0p05::5000::default","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","FAIL",FALSE,3,,"baseline_original","baseline","WARN",TRUE,2,1493.772,"dynamic_archive_rescore_20260405","archive_existing",-1,"vb_better",,
"dynamic::laplace::0p25::500::default","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic","dynamic","laplace","0p25",500,"default","dqlm","PASS",TRUE,1,907.663,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"dynamic::laplace::0p25::500::default","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic","dynamic","laplace","0p25",500,"default","exdqlm","WARN",TRUE,2,741.185,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,134.307,"syncedbase_faithful_replay_20260407","row_0018",-1,"vb_better",5.518588,"vb"
"dynamic::laplace::0p25::5000::default","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic","dynamic","laplace","0p25",5000,"default","dqlm","PASS",TRUE,1,1807.255,"syncedbase_faithful_replay_20260407","row_0267","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
