"row_id","base_row_id","original_case_key","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","method_profile_id","seed","status_current","error_current","gate_current","healthy_current","runtime_sec_current","crps_metric","primary_accuracy_metric","q_rmse_metric","coverage95_metric","coverage95_gap_metric","mean_ci_width_metric","cie_metric","beta_rmse_mean_metric","beta_coverage_gap_metric","metric_source","metric_error"
137,137,"static_paper::normal::0p50::100::paper::al::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",100,"paper","al","vb","static_paper__paper__al__vb",188580,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,139,"static_paper::normal::0p50::100::paper::exal::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",100,"paper","exal","vb","static_paper__paper__exal__vb",198835,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,141,"static_paper::normal::0p50::1000::paper::al::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",1000,"paper","al","vb","static_paper__paper__al__vb",191421,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,143,"static_paper::normal::0p50::1000::paper::exal::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",1000,"paper","exal","vb","static_paper__paper__exal__vb",201897,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,273,"static_shrink::normal::0p50::100::ridge::al::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"ridge","al","vb","static_shrink__ridge__al__vb",192265,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,275,"static_shrink::normal::0p50::100::ridge::exal::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"ridge","exal","vb","static_shrink__ridge__exal__vb",202741,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,277,"static_shrink::normal::0p50::100::rhs_ns::al::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"rhs_ns","al","vb","static_shrink__rhs_ns__al__vb",198084,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,279,"static_shrink::normal::0p50::100::rhs_ns::exal::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"rhs_ns","exal","vb","static_shrink__rhs_ns__exal__vb",208781,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,"dynamic::normal::0p50::500::default::dqlm::vb","smoke_dynamic_vb",2,"dynamic","dynamic","normal",0.5,"0p50",500,"default","dqlm","vb","dynamic__dqlm__vb",188043,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,67,"dynamic::normal::0p50::500::default::exdqlm::vb","smoke_dynamic_vb",2,"dynamic","dynamic","normal",0.5,"0p50",500,"default","exdqlm","vb","dynamic__exdqlm__vb",198085,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
