campaign,selection_status,file_count,size_bytes,size_gb
dynamic_restored_closure_20260410,selected,3,1859036006,1.73
exactspec_multiseed_20260412,selected,36,19990260537,18.62
exactspec_multiseed_20260412,unselected,108,59973663559,55.85
