"case_key","scenario_key","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","model","method_id","selected_pool","selected_candidate","selected_variant_tag","gate_overall","healthy","runtime_sec","diagnostic_source_type","signoff_reason","selection_reason","selected_health_path_rel"
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default","dynamic","dynamic","gausmix","0p05",5000,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","low_ess; geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv"
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default","dynamic","dynamic","gausmix","0p25",500,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","high_autocorrelation; geweke_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv"
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic::laplace::0p05::500::default","dynamic","dynamic","laplace","0p05",500,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","low_ess; geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv"
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic::laplace::0p05::5000::default","dynamic","dynamic","laplace","0p05",5000,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv"
"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic::normal::0p05::500::default","dynamic","dynamic","normal","0p05",500,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","low_ess; geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv"
"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic::normal::0p05::5000::default","dynamic","dynamic","normal","0p05",5000,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","FAIL",FALSE,,"method_signoff_long","low_ess; geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv"
