root_id	root_kind	family	tau	fit_size	prior	n_methods	n_signoff_pass	n_signoff_warn	n_signoff_fail	method_comparison_eligible_rate	algorithm_pair_comparison_eligible_rate	model_pair_comparison_eligible_rate	root_comparison_eligible_any	root_comparison_eligible_full	run_root
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	4	1	0	3	0.25	0	0	FALSE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	4	0	2	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	4	1	1	2	0.5	0	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	4	1	1	2	0.5	0	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	4	0	4	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	4	1	0	3	0.25	0	0	FALSE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	4	0	2	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	4	1	1	2	0.5	0	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
