inference	model	count	reasons	ess_sigma_min	ess_sigma_median	ess_gamma_min	ess_gamma_median	ess_state_min	ess_state_median	acf1_sigma_max	acf1_gamma_max	acf1_state_max	geweke_sigma_q75	geweke_gamma_q75	geweke_state_q75	drift_sigma_q75	drift_gamma_q75	drift_state_q75	vb_elbo_max	vb_sigma_tail_max	vb_gamma_tail_max	vb_delta_state_max
mcmc	dqlm	18	geweke_drift	85.7933609795664	288.515318931198	NA	NA	66.7172677685547	242.272379007434	0.630333146350119	NA	-0.167818030226926	0.969929755308267	NA	12.7293097222073	0.0976285859764964	NA	0.208730006677876	NA	NA	NA	NA
mcmc	exal	35	geweke_drift; half_chain_drift | half_chain_drift | low_ess | low_ess; geweke_drift | low_ess; geweke_drift; half_chain_drift | low_ess; half_chain_drift | low_ess; high_autocorrelation | low_ess; high_autocorrelation; geweke_drift; half_chain_drift | low_ess; high_autocorrelation; half_chain_drift	3.26557906981722	20.4659221081258	1.403241780357	3.09681288123134	31.3725474119452	59.4302844259673	0.986711985996903	0.997194644867521	0.939104398755528	2.96266607481441	6.66315574473987	1.20317121950245	0.997010358580194	1.44498276648998	0.296894384551288	NA	NA	NA	NA
mcmc	exdqlm	18	geweke_drift | geweke_drift; half_chain_drift | low_ess; geweke_drift | low_ess; geweke_drift; half_chain_drift | low_ess; high_autocorrelation; geweke_drift; half_chain_drift	2.03616896990193	9.17072080217515	1.53385632929817	3.96402485634912	49.7160065033986	195.284467621265	0.999185701129705	0.999337528075968	-0.161397193417865	6.20102002057436	6.3307998792822	13.2050995408245	1.46303062214429	1.43927184671677	0.266022149571223	NA	NA	NA	NA
vb	exdqlm	5	ld_unstable; vb_converged_false; core_parameter_tail_unstable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00398326603689869	0.000978061311737913	0.190132691055158	0.428517916444434
