"block","model","inference","n","runtime_sec_median","runtime_sec_mean","runtime_sec_nonmissing","n_keep_median","n_keep_mean","n_keep_nonmissing","n_burn_median","n_burn_mean","n_burn_nonmissing","n_mcmc_median","n_mcmc_mean","n_mcmc_nonmissing","ess_sigma_median","ess_sigma_mean","ess_sigma_nonmissing","ess_gamma_median","ess_gamma_mean","ess_gamma_nonmissing","ess_sigma_per1k_median","ess_sigma_per1k_mean","ess_sigma_per1k_nonmissing","ess_gamma_per1k_median","ess_gamma_per1k_mean","ess_gamma_per1k_nonmissing","acf1_sigma_median","acf1_sigma_mean","acf1_sigma_nonmissing","acf1_gamma_median","acf1_gamma_mean","acf1_gamma_nonmissing","geweke_sigma_median","geweke_sigma_mean","geweke_sigma_nonmissing","geweke_gamma_median","geweke_gamma_mean","geweke_gamma_nonmissing","half_drift_sigma_median","half_drift_sigma_mean","half_drift_sigma_nonmissing","half_drift_gamma_median","half_drift_gamma_mean","half_drift_gamma_nonmissing","accept_keep_median","accept_keep_mean","accept_keep_nonmissing","accept_burn_median","accept_burn_mean","accept_burn_nonmissing","accept_overall_median","accept_overall_mean","accept_overall_nonmissing","healthy_rate","pass_rate","warn_rate","fail_rate"
"dynamic","dqlm","mcmc",18,907.663,3946.063471,17,1000,1466.666667,15,2000,1642.857143,14,1000,1466.666667,15,280.633508,324.749628,15,,,0,273.019522,252.655448,18,,,0,0.487547,0.498147,18,,,0,0.81957,1.007369,18,,,0,0.087388,0.107759,18,,,0,,,0,,,0,,,0,100,94.4,5.6,0
"dynamic","exdqlm","mcmc",18,1795.414,7175.843083,12,1000,2454.545455,11,2000,1560,5,1000,2454.545455,11,11.394602,23.509432,11,5.655391,15.98095,11,8.569147,12.115667,18,5.521145,9.268337,18,0.96766,0.96715,18,0.988298,0.980428,18,1.564469,2.53571,18,1.368308,3.266194,18,0.291453,0.595464,18,0.288186,0.58553,18,0.283,0.295417,9,0.436,0.428056,6,0.341333,0.311354,9,66.7,33.3,33.3,33.3
"static_paper","al","mcmc",18,8.724,12.234,7,1000,1000,11,,,0,1000,1000,11,461.797922,479.889724,11,,,0,461.797922,479.889724,11,,,0,0.358841,0.349476,11,,,0,1.224349,1.114545,11,,,0,0.065606,0.090228,11,,,0,,,0,,,0,,,0,100,100,0,0
"static_paper","exal","mcmc",18,57.289,65.098467,15,1000,2750,4,2000,2000,1,1000,2750,4,23.214937,24.958992,4,10.747482,11.813441,4,32.418304,37.90253,13,15.191786,16.288972,13,0.937138,0.91257,13,0.968946,0.964796,13,1.045767,1.188902,13,0.976661,1.122022,13,0.257852,0.280925,13,0.402856,0.402188,13,0.19925,0.202065,4,0.085,0.166111,3,0.203015,0.206531,4,100,50,50,0
"static_shrink","al","mcmc",36,9.323,10.155467,15,1000,1000,21,,,0,1000,1000,21,448.450095,456.856021,21,,,0,448.450095,456.856021,21,,,0,0.378178,0.374855,21,,,0,0.587182,0.691492,21,,,0,0.069176,0.082416,21,,,0,,,0,,,0,,,0,100,100,0,0
"static_shrink","exal","mcmc",36,61.492,100.8637,30,1000,1000,11,2000,2000,5,1000,1000,11,33.331376,37.858593,11,6.591473,11.636465,11,33.331376,39.891893,27,13.076501,15.332542,27,0.930914,0.918176,27,0.974159,0.970203,27,0.928528,1.047517,27,0.809717,1.237999,27,0.279131,0.296691,27,0.334065,0.346373,27,0.304,0.251096,11,0.18325,0.20525,6,0.301139,0.252975,11,100,58.3,41.7,0
