"base_row_id","original_case_key","selected_source_type","selected_source_subtype","selected_variant_tag","source_config_csv","source_run_config_path","source_config_style","resolution_score","source_seed","seed_1","seed_2","seed_3","seed_4"
1,"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0253_run_config.rds","nested",60,201874,201874,201975,202883,211881
2,"dynamic::gausmix::0p05::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0001_run_config.rds","nested",60,192358,192358,192459,193367,202365
3,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic_tail7_rw_20260406","tt500_rw_refresh4","orig288_dyn_tail7_rw_refresh4_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_original288_dynamic_tail7_rw_manifest_status_20260406.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/original288_dynamic_tail7_rw_configs_20260406/tt500_rw_refresh4/exdqlm_gausmix_tau0p05_tt500_mcmc_exdqlm_rw_refresh_tt500.rds","nested",140,2026032703,2026032703,2026032804,2026033712,2026042710
4,"dynamic::gausmix::0p05::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0002_run_config.rds","nested",100,202621,202621,202722,203630,212628
5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","hybrid_291_selection","dynamic_historical_reusable","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0255_run_config.rds","nested",60,205153,205153,205254,206162,215160
6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0003_run_config.rds","nested",100,195437,195437,195538,196446,205444
7,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_closure_20260407/configs/row_0001_run_config.rds","nested",60,216037,216037,216138,217046,226044
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0004_run_config.rds","nested",60,205921,205921,206022,206930,215928
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0256_run_config.rds","nested",60,201916,201916,202017,202925,211923
10,"dynamic::gausmix::0p25::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0005_run_config.rds","nested",60,192400,192400,192501,193409,202407
