root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	mcmc	exal	static_shrink	gausmix	0.05	100	rhs	non_finite_fit	hard_numerical_repair	8000	41.7216381418867	10.0757566271975	517.694319855983	0.976955959852463	0.997697292081164	0.878428341322947	1.29882329503673	0.545614557298425	1.42640512673578	0.256619415717549	0.300741481989944	0.00248072072390586	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	exclude_until_numerical_fix
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	mcmc	exal	static_shrink	gausmix	0.25	100	rhs	non_finite_fit	hard_numerical_repair	1000	105.580066435336	6.43257355975173	216.569974430903	0.7545253615226	0.987204353363638	0.59867002576513	0.165360809382098	2.63572746974411	2.14289085992701	0.565462537221476	0.278527513651434	0.160087765134221	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	exclude_until_numerical_fix
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	mcmc	exal	static_shrink	gausmix	0.25	1000	rhs	non_finite_fit	hard_numerical_repair	1000	51.6396847460396	12.0424504111861	113.100029384589	0.894805443204238	0.979137836582499	0.820787833024488	3.501596781191	2.42084584516598	1.41695456529832	0.213849384424161	0.313700158136158	0.0392177336765634	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	exclude_until_numerical_fix
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	mcmc	exal	static_shrink	gausmix	0.95	100	rhs	non_finite_fit	hard_numerical_repair	8000	30.0199833416443	9.95016711692348	451.222104112261	0.979621465278875	0.997659855519431	0.856283397053337	3.63678940547783	2.77488620498083	1.80885199483944	0.731344851995445	0.88728597575707	0.28499922534906	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	exclude_until_numerical_fix
root__static_shrink__laplace__tau_0p25__tt_100__rhs	mcmc	exal	static_shrink	laplace	0.25	100	rhs	non_finite_fit	hard_numerical_repair	1000	190.787009559621	8.73931561388621	286.694355032758	0.653644812638168	0.980558853124173	0.554023742700816	3.1153887502018	1.02477976583271	0.331306109828298	0.335778195502665	0.340367585279683	0.0316543322274562	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	exclude_until_numerical_fix
root__static_shrink__normal__tau_0p25__tt_100__rhs	mcmc	exal	static_shrink	normal	0.25	100	rhs	non_finite_fit	hard_numerical_repair	1000	26.9582566825788	5.12435669752169	178.757954574708	0.893331498752185	0.989793372161995	0.696443389219997	2.68255219587675	0.977172569722351	1.07091454927965	0.223202790269061	0.405294203845335	0.257270299130191	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	exclude_until_numerical_fix
