key	kind	family	tau	tt	prior	prepared_root	run_root	batch_label	jerez_state	jerez_session	prepared_exists	run_root_exists	run_config_exists	muscat_state	global_state	launch_on_muscat_now	sync_pending_from_jerez
dynamic|gausmix|0.25|5000|	dynamic	gausmix	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	TRUE	FALSE	partial_on_muscat	already_present_on_muscat_partial	TRUE	FALSE
dynamic|gausmix|0.50|5000|	dynamic	gausmix	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|laplace|0.05|500|	dynamic	laplace	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	TRUE	FALSE	partial_on_muscat	already_present_on_muscat_partial	TRUE	FALSE
dynamic|laplace|0.05|5000|	dynamic	laplace	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|laplace|0.25|500|	dynamic	laplace	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|laplace|0.25|5000|	dynamic	laplace	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|laplace|0.50|500|	dynamic	laplace	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|laplace|0.50|5000|	dynamic	laplace	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.05|500|	dynamic	normal	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.05|5000|	dynamic	normal	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.25|500|	dynamic	normal	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.25|5000|	dynamic	normal	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.50|500|	dynamic	normal	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
dynamic|normal|0.50|5000|	dynamic	normal	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched		TRUE	FALSE	FALSE	absent_on_muscat	not_launched_anywhere	TRUE	FALSE
