root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action
root__dynamic__normal__tau_0p95__lasttt_500	mcmc	dqlm	dynamic	normal	0.95	500	default	geweke_drift	threshold_only_rescue_moderate	1000	355.597645772615	NA	168.595408305241	0.474976337576018	NA	-0.186088011011516	0.436398189505918	NA	6.42405125915608	0.0961162186805566	NA	0.181404970681334	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	mark_comparison_eligible_under_second_wave_policy
root__dynamic__normal__tau_0p95__lasttt_5000	mcmc	exdqlm	dynamic	normal	0.95	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	29.2313729295018	36.5905905085264	261.436701584385	0.943142366287672	0.92933380003187	-0.183504136984078	1.50791066136705	2.2820303984376	5.96475666469131	0.284334029260691	0.474780877882898	0.203439623348128	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__normal__tau_0p95__lasttt_5000	mcmc	dqlm	dynamic	normal	0.95	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	115.857085823963	NA	277.304723027723	0.560091078186946	NA	-0.184125701432837	0.0661367430252359	NA	5.6528071230175	0.188088420682561	NA	0.201532332414171	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__static_paper__laplace__tau_0p05__tt_1000	mcmc	exal	static_paper	laplace	0.05	1000	paper	low_ess	threshold_only_rescue_moderate	1000	25.2786290258106	3.8320952212902	47.6170775564356	0.945255682635579	0.988278503748678	0.909007555639408	0.470782577192911	0.112487255295863	0.621535273248991	0.148952405482539	0.13232901053962	0.192302111137062	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	mark_comparison_eligible_under_second_wave_policy
root__static_paper__laplace__tau_0p95__tt_100	mcmc	exal	static_paper	laplace	0.95	100	paper	low_ess	threshold_only_rescue_moderate	1000	18.3148855495713	3.28090060080265	39.422733590335	0.963993638880298	0.99345312501605	0.888304924599913	0.257414676281817	1.02473897255803	1.60645613015546	0.00985851464904122	0.0975898651077778	0.0152943296269241	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	mcmc	exal	static_shrink	gausmix	0.05	1000	rhs	low_ess; geweke_drift	threshold_only_rescue_moderate	1000	31.9870541210712	4.08020219547352	35.8964623812436	0.937948619141319	0.991864646000805	0.930627848472022	1.69863847812834	5.48428071392254	2.39203207127077	0.526843744548916	0.653369751957288	0.243202362566706	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	mcmc	exal	static_shrink	gausmix	0.05	1000	ridge	half_chain_drift	threshold_only_rescue_moderate	1000	35.8154149232441	5.2724913732554	44.8450082270327	0.930779056724783	0.989499868464252	0.914077184106836	0.901671945285696	0.11825397113413	0.773544893592535	0.214989986082454	0.984321621540066	0.169915248461746	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	mcmc	exal	static_shrink	gausmix	0.25	100	ridge	low_ess; half_chain_drift	threshold_only_rescue_moderate	1000	18.4054121499997	4.02131785133265	186.864810262624	0.896249134754058	0.992115972738952	0.630358457056615	1.10638162146373	0.716152464187477	0.374051914528277	0.848207248351528	0.960342433912492	0.163862090022117	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	mcmc	exal	static_shrink	gausmix	0.95	1000	ridge	low_ess	threshold_only_rescue_moderate	1000	19.3644214661465	4.55255723124128	31.3725474119452	0.961969526640496	0.98927625733648	0.939104398755528	0.947510913391756	0.864263202123029	0.764581505166162	0.456492939741668	0.141004648716053	0.338567564932034	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__laplace__tau_0p05__tt_100__rhs	mcmc	exal	static_shrink	laplace	0.05	100	rhs	half_chain_drift	threshold_only_rescue_moderate	1000	40.9737403162893	10.7929437615144	64.8580198995184	0.919627921311554	0.978623430620749	0.878070043723225	0.495001412823375	0.186051174911963	0.273329332050558	0.332652321740007	0.931840322523718	0.521703888134087	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__laplace__tau_0p95__tt_100__ridge	mcmc	exal	static_shrink	laplace	0.95	100	ridge	low_ess	threshold_only_rescue_moderate	1000	49.6764555885335	3.79110531739946	93.7686636485159	0.905258666308591	0.99243888566295	0.812333283202942	0.19035550134538	0.0155276436474005	0.221835549934015	0.0250075645015386	0.296082160811759	0.161808435839195	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__normal__tau_0p95__tt_100__rhs	mcmc	exal	static_shrink	normal	0.95	100	rhs	low_ess	threshold_only_rescue_moderate	1000	20.1379613142027	3.82495610880385	84.9352389321606	0.960480363094644	0.991074121551635	0.843283409712619	0.505908878256293	0.484975508659259	0.266665847648792	0.472279622395467	0.0481065847627763	0.245218534233577	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	mark_comparison_eligible_under_second_wave_policy
root__static_shrink__normal__tau_0p95__tt_100__ridge	mcmc	exal	static_shrink	normal	0.95	100	ridge	low_ess	threshold_only_rescue_moderate	1000	51.9487446300897	3.49977264048281	63.815194074341	0.901139243230682	0.993017901389028	0.844704260139343	0.808729886412411	0.980189708842755	0.125034819277952	0.251129998179271	0.667009056128191	0.216294676822731	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	mark_comparison_eligible_under_second_wave_policy
