"block","model","inference","total","pass","warn","fail","healthy_true","healthy_false","pct_pass","pct_warn","pct_fail","runtime_sec_total","runtime_sec_mean","runtime_sec_median"
"dynamic","dqlm","mcmc",18,17,1,0,18,0,94.4,5.6,0,67083.079,3946.063,907.663
"dynamic","dqlm","vb",18,18,0,0,18,0,100,0,0,2407.836,343.977,388.781
"dynamic","exdqlm","mcmc",18,6,6,6,12,6,33.3,33.3,33.3,86110.117,7175.843,1795.414
"dynamic","exdqlm","vb",18,15,3,0,18,0,83.3,16.7,0,9857.884,579.876,507.891
"static_paper","al","mcmc",18,18,0,0,18,0,100,0,0,85.638,12.234,8.724
"static_paper","al","vb",18,18,0,0,18,0,100,0,0,0,,
"static_paper","exal","mcmc",18,9,9,0,18,0,50,50,0,976.477,65.098,57.289
"static_paper","exal","vb",18,12,6,0,18,0,66.7,33.3,0,231.795,12.877,13.645
"static_shrink","al","mcmc",36,36,0,0,36,0,100,0,0,152.332,10.155,9.323
"static_shrink","al","vb",36,36,0,0,36,0,100,0,0,3.692,0.923,0.976
"static_shrink","exal","mcmc",36,21,15,0,36,0,58.3,41.7,0,3025.911,100.864,61.492
"static_shrink","exal","vb",36,24,12,0,36,0,66.7,33.3,0,467.43,12.984,12.723
