"phase","config_id","total","done","missing","PASS","WARN","FAIL","resolved"
"archive_rescore_existing","archive_existing",22,22,0,7,4,11,11
"vb_relaxed","vb_relaxed",2,0,2,0,0,0,0
"mcmc_targeted","mcmc_dqlm_cppgig_refresh",7,0,7,0,0,0,0
"mcmc_targeted","mcmc_exdqlm_joint_long",3,0,3,0,0,0,0
"mcmc_targeted","mcmc_exdqlm_slice_short",7,0,7,0,0,0,0
