"check_name","pass","detail"
"registry_rows_288",TRUE,"rows=288"
"registry_unique_keys_288",TRUE,"unique_keys=288"
"selection_rows_288",TRUE,"rows=288"
"selection_unique_keys_288",TRUE,"unique_keys=288"
"registry_block_counts_match",TRUE,"dynamic:72; static_paper:72; static_shrink:144"
"baseline_fit_paths_exist",TRUE,"all baseline fit paths present"
"baseline_signoff_paths_exist",TRUE,"all baseline signoff paths present"
"selected_fit_paths_exist",TRUE,"all selected fit paths present"
"selected_evidence_paths_exist",TRUE,"all selected evidence paths present"
"static_unresolved_zero",TRUE,"static_fail_rows=0"
"all_unresolved_dynamic_only",TRUE,"dynamic_fail_rows=19"
