"accepted_compare","total","done","missing","pass","warn","fail","healthy","matches_accepted","better_than_accepted","worse_than_accepted","pending_compare"
"better_than_accepted",7,7,0,1,6,0,7,0,7,0,0
"matches_accepted",17,17,0,0,0,17,0,17,0,0,0
