row_id,original_case_key,phase,block,family,tau_label,fit_size,prior_semantics,model,inference,status,error,candidate_fit_path,vb_init_fit_path,health_csv,metrics_csv
38,dynamic::laplace::0p25::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p25,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=79.0631 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0038_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0038_metrics.csv
40,dynamic::laplace::0p25::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p25,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0040_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0040_metrics.csv
46,dynamic::laplace::0p50::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p50,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=153.994 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0046_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0046_metrics.csv
48,dynamic::laplace::0p50::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p50,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0048_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0048_metrics.csv
54,dynamic::normal::0p05::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p05,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=6.31696 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0054_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0054_metrics.csv
56,dynamic::normal::0p05::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p05,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0056_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0056_metrics.csv
62,dynamic::normal::0p25::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p25,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=22.7787 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0062_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0062_metrics.csv
64,dynamic::normal::0p25::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p25,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0064_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0064_metrics.csv
70,dynamic::normal::0p50::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p50,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=38.2583 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0070_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0070_metrics.csv
72,dynamic::normal::0p50::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,normal,0p50,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0072_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0072_metrics.csv
