unit_type	state	launch_ready	count
campaign_review	not_started	FALSE	3
global_summary	not_started	FALSE	1
model_path	not_started	TRUE	91
prior_compare	not_started	FALSE	18
root_postprocess	not_started	FALSE	71
root_review	not_started	FALSE	71
root_signoff	not_started	FALSE	71
