timestamp	session_name	task_id	unit_type	root_kind	family	tau	fit_size	prior	model	launch_mode	run_root	lock_dir	worker_log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1006111829	mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	model_path	static_paper	gausmix	0.25	100	paper	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_paper__gausmix__tau_0p25__tt_100__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1061453784	mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	model_path	static_shrink	gausmix	0.25	100	ridge	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1085305412	mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm	model_path	dynamic	normal	0.05	5000	default	dqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1333512747	mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__exal	model_path	static_shrink	laplace	0.25	1000	rhs	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1480946857	mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	model_path	dynamic	laplace	0.05	5000	default	dqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_1917074613	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	model_path	static_shrink	gausmix	0.25	1000	rhs	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_2324241460	mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm	model_path	dynamic	normal	0.25	5000	default	exdqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_2367284007	mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm	model_path	dynamic	laplace	0.25	5000	default	exdqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_243170784	mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	model_path	static_shrink	gausmix	0.25	100	rhs	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_2657509165	mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	model_path	static_shrink	laplace	0.25	100	rhs	exal	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_270460492	mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	model_path	dynamic	gausmix	0.95	5000	default	exdqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm.log
2026-03-12 21:07:14	fqv2_model_path_20260312_210714_2742288407	mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	model_path	dynamic	normal	0.25	5000	default	dqlm	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	/home/jaguir26/local/state/exdqlm/family_qspec_v2/locks/mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	/home/jaguir26/local/state/exdqlm/family_qspec_v2/worker_logs/mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm.log
