session	kind	family	tau	tt	prior	jerez_run_root	preserved_artifacts	remaining_work_on_resume	muscat_resume_script	postprocess_steps
qsp_rsp100_20260310_204439	static_paper	gausmix	0.25	100	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rsp1k_20260310_204439	static_paper	gausmix	0.25	1000	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rss100r_20260310_204439	static_shrink	gausmix	0.25	100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rss1kr_20260310_204439	static_shrink	gausmix	0.25	1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rss100h_20260310_204439	static_shrink	gausmix	0.25	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rss1kh_20260310_204439	static_shrink	gausmix	0.25	1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_al;vb_exal;mcmc_al;logs;run_config	exAL_mcmc_only	tools/merge_reports/20260305_resume_static_mcmc_from_vb.R	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R;tools/merge_reports/20260305_static_vb_mcmc_report.R
qsp_rdy5k_fix_20260311_173314	dynamic	gausmix	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_dqlm;vb_exdqlm;logs;run_config	dqlm_mcmc_and_exdqlm_mcmc	tools/merge_reports/20260305_resume_dynamic_mcmc_from_vb.R	tools/merge_reports/20260305_postprocess_from_existing_fits.R
