"block","model","inference","source_config_style","selected_source_type","total","missing_inputs"
"static_paper","al","mcmc","nested","baseline_original",44,0
"static_shrink","al","mcmc","nested","baseline_original",40,0
"dynamic","dqlm","mcmc","nested","baseline_original",4,0
"static_paper","exal","mcmc","nested","baseline_original",12,0
"static_shrink","exal","mcmc","nested","baseline_original",16,0
"dynamic","exdqlm","mcmc","nested","baseline_original",12,0
"static_paper","al","vb","nested","baseline_original",72,0
"static_shrink","al","vb","nested","baseline_original",72,0
"dynamic","dqlm","vb","nested","baseline_original",44,0
"dynamic","exdqlm","vb","nested","baseline_original",4,0
"dynamic","dqlm","mcmc","nested","dynamic_archive_rescore_20260405",28,0
"dynamic","exdqlm","mcmc","nested","dynamic_archive_rescore_20260405",4,0
"dynamic","exdqlm","vb","nested","dynamic_archive_rescore_20260405",8,0
"dynamic","exdqlm","mcmc","nested","dynamic_restored_closure_20260410",12,0
"dynamic","dqlm","mcmc","nested","dynamic_summary_csv",12,0
"dynamic","exdqlm","mcmc","nested","dynamic_summary_csv",24,0
"dynamic","exdqlm","mcmc","nested","dynamic_tail7_rw_20260406",4,0
"dynamic","exdqlm","mcmc","nested","dynamic_tail8_20260405",4,0
"dynamic","dqlm","mcmc","nested","hybrid_291_selection",8,0
"static_paper","exal","mcmc","nested","hybrid_291_selection",56,0
"static_shrink","exal","mcmc","nested","hybrid_291_selection",40,0
"dynamic","exdqlm","mcmc","nested","hybrid_291_selection",4,0
"static_shrink","al","mcmc","flat","legacy_mixed_prior_freeze",72,0
"static_shrink","exal","mcmc","flat","legacy_mixed_prior_freeze",24,0
"static_shrink","al","vb","flat","legacy_mixed_prior_freeze",72,0
"static_shrink","exal","vb","flat","legacy_mixed_prior_freeze",72,0
"static_shrink","exal","mcmc","flat","rhsns_exal_mcmc_final_closure_20260410",4,0
"static_shrink","exal","mcmc","flat","rhsns_exal_mcmc_gausmix_stationarity_bridge_20260410",4,0
"static_shrink","exal","mcmc","flat","rhsns_exal_mcmc_repair_20260410",40,0
"static_paper","al","mcmc","nested","static_refresh_compact",28,0
"static_shrink","al","mcmc","nested","static_refresh_compact",32,0
"static_shrink","exal","mcmc","nested","static_refresh_compact",4,0
"static_paper","exal","vb","nested","static_refresh_compact",72,0
"static_shrink","exal","vb","nested","static_refresh_compact",72,0
"dynamic","dqlm","mcmc","nested","syncedbase_faithful_replay_20260407",20,0
"static_shrink","exal","mcmc","nested","syncedbase_faithful_replay_20260407",4,0
"dynamic","exdqlm","mcmc","nested","syncedbase_faithful_replay_20260407",8,0
"dynamic","dqlm","vb","nested","syncedbase_faithful_replay_20260407",28,0
"dynamic","exdqlm","vb","nested","syncedbase_faithful_replay_20260407",60,0
"static_paper","exal","mcmc","nested","syncedbase_targeted_followup_20260407",4,0
"static_shrink","exal","mcmc","nested","syncedbase_targeted_followup_20260407",8,0
