unit_id	unit_type	root_id	task_id	barrier_id	root_kind	family	tau	fit_size	prior	model	scope	state	recommended_action	location	notes
campaign__dynamic	campaign_review	NA	NA	campaign__dynamic	dynamic	all	all	NA	NA	NA	in_scope	blocked	wait_for_prerequisites	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/20260312_family_qspec_campaign_review__dynamic	deps_complete=FALSE | missing_count=3
campaign__static_paper	campaign_review	NA	NA	campaign__static_paper	static_paper	all	all	NA	NA	NA	in_scope	blocked	wait_for_prerequisites	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/20260312_family_qspec_campaign_review__static_paper	deps_complete=FALSE | missing_count=3
campaign__static_shrink	campaign_review	NA	NA	campaign__static_shrink	static_shrink	all	all	NA	NA	NA	in_scope	blocked	wait_for_prerequisites	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/20260312_family_qspec_campaign_review__static_shrink	deps_complete=FALSE | missing_count=3
campaign__global_cross_family_summary	global_summary	NA	NA	campaign__global_cross_family_summary	all	all	all	NA	NA	NA	in_scope	blocked	wait_for_prerequisites	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/20260312_family_qspec_global_cross_family_summary	deps_complete=FALSE | missing_count=3
mp__root__dynamic__gausmix__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__gausmix__tau_0p05__lasttt_500	mp__root__dynamic__gausmix__tau_0p05__lasttt_500__dqlm	NA	dynamic	gausmix	0.05	500	default	dqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__gausmix__tau_0p05__lasttt_500	mp__root__dynamic__gausmix__tau_0p05__lasttt_500__exdqlm	NA	dynamic	gausmix	0.05	500	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__dqlm	model_path	root__dynamic__gausmix__tau_0p05__lasttt_5000	mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__dqlm	NA	dynamic	gausmix	0.05	5000	default	dqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__exdqlm	model_path	root__dynamic__gausmix__tau_0p05__lasttt_5000	mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__exdqlm	NA	dynamic	gausmix	0.05	5000	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__gausmix__tau_0p25__lasttt_500	mp__root__dynamic__gausmix__tau_0p25__lasttt_500__dqlm	NA	dynamic	gausmix	0.25	500	default	dqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__gausmix__tau_0p25__lasttt_500	mp__root__dynamic__gausmix__tau_0p25__lasttt_500__exdqlm	NA	dynamic	gausmix	0.25	500	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
