"scope_label","row_id","candidate_id","probe_reason"
"current_rhsns_refresh",174,"F0875_sub2_s105","historically strongest WARN-only outlier on row 174"
"legacy_rhs_refresh",269,"F0875_sub2_s105","historically strongest WARN-only outlier on row 269"
