"block","model","inference","n","runtime_sec_median","runtime_sec_mean","runtime_sec_nonmissing","vb_trace_length_median","vb_trace_length_mean","vb_trace_length_nonmissing","vb_elbo_tail_rel_range_median","vb_elbo_tail_rel_range_mean","vb_elbo_tail_rel_range_nonmissing","vb_elbo_tail_rel_drift_median","vb_elbo_tail_rel_drift_mean","vb_elbo_tail_rel_drift_nonmissing","vb_sigma_tail_rel_range_median","vb_sigma_tail_rel_range_mean","vb_sigma_tail_rel_range_nonmissing","vb_gamma_tail_rel_range_median","vb_gamma_tail_rel_range_mean","vb_gamma_tail_rel_range_nonmissing","vb_s_tail_rel_range_median","vb_s_tail_rel_range_mean","vb_s_tail_rel_range_nonmissing","vb_delta_state_last_median","vb_delta_state_last_mean","vb_delta_state_last_nonmissing","vb_delta_sigma_last_median","vb_delta_sigma_last_mean","vb_delta_sigma_last_nonmissing","vb_delta_gamma_last_median","vb_delta_gamma_last_mean","vb_delta_gamma_last_nonmissing","vb_delta_s_last_median","vb_delta_s_last_mean","vb_delta_s_last_nonmissing","vb_ld_trace_rows_median","vb_ld_trace_rows_mean","vb_ld_trace_rows_nonmissing","vb_ld_candidate_local_pass_rate_tail_median","vb_ld_candidate_local_pass_rate_tail_mean","vb_ld_candidate_local_pass_rate_tail_nonmissing","vb_ld_committed_local_pass_rate_tail_median","vb_ld_committed_local_pass_rate_tail_mean","vb_ld_committed_local_pass_rate_tail_nonmissing","vb_ld_mode_fallback_rate_median","vb_ld_mode_fallback_rate_mean","vb_ld_mode_fallback_rate_nonmissing","vb_ld_stabilized_rate_tail_median","vb_ld_stabilized_rate_tail_mean","vb_ld_stabilized_rate_tail_nonmissing","healthy_rate","vb_converged_rate","vb_ld_local_mode_pass_rate","vb_ld_committed_stable_tail_rate"
"dynamic","dqlm","vb",18,388.781,343.976571,7,52,58.181818,11,1e-06,6e-06,11,1e-06,6e-06,11,1.3e-05,2e-05,11,,,0,,,0,0.010917,0.009937,11,0.000153,0.000217,11,,,0,,,0,0,0,11,,,0,,,0,,,0,,,0,100,100,0,0
"dynamic","exdqlm","vb",18,507.891,579.875529,17,300,300,1,0.001916,0.001916,1,0.001916,0.001916,1,0.001391,0.001391,1,0.015594,0.015594,1,,,0,0.069325,0.069325,1,0.000523,0.000523,1,0.00056,0.00056,1,0.00019,0.00019,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,100,0,0,0
"static_paper","al","vb",18,,,0,47,40.666667,18,1.3e-05,1.6e-05,18,1.3e-05,1.6e-05,18,,,0,,,0,,,0,0.002523,0.003107,18,1.6e-05,2.8e-05,18,,,0,,,0,0,0,18,,,0,,,0,,,0,,,0,100,100,0,0
"static_paper","exal","vb",18,13.6455,12.8775,18,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,100,,,
"static_shrink","al","vb",36,0.976,0.923,4,56.5,65.8125,32,6e-06,1.8e-05,32,6e-06,1.8e-05,32,,,0,,,0,,,0,0.000588,0.001193,32,2e-06,1.8e-05,32,,,0,,,0,0,0,32,,,0,,,0,,,0,,,0,100,100,0,0
"static_shrink","exal","vb",36,12.723,12.984167,36,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,100,,,
