root_id	root_kind	family	tau	fit_size	prior	inference	model	signoff_reason	failure_bucket	moderate_relax_rescues	aggressive_relax_rescues	rescue_class
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	soft_only	FALSE	FALSE	needs_model_or_vb_debug
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	exdqlm	high_autocorrelation; geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	soft_only	FALSE	FALSE	needs_model_or_vb_debug
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	exdqlm	high_autocorrelation; geweke_drift; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	exdqlm	high_autocorrelation; geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	exdqlm	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	soft_only	FALSE	FALSE	needs_model_or_vb_debug
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	soft_only	FALSE	FALSE	needs_model_or_vb_debug
