parent_task_id	parent_task_type	child_task_id	child_task_type	dependency_role	root_kind	family	tau	fit_size	prior
post__root__dynamic__normal__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__normal__tau_0p25__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	normal	0.25	500	default
post__root__dynamic__normal__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__normal__tau_0p25__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	normal	0.25	500	default
review__root__dynamic__normal__tau_0p25__lasttt_500	root_review	post__root__dynamic__normal__tau_0p25__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	normal	0.25	500	default
post__root__dynamic__normal__tau_0p25__lasttt_5000	root_postprocess	mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	normal	0.25	5000	default
post__root__dynamic__normal__tau_0p25__lasttt_5000	root_postprocess	mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	normal	0.25	5000	default
review__root__dynamic__normal__tau_0p25__lasttt_5000	root_review	post__root__dynamic__normal__tau_0p25__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	normal	0.25	5000	default
post__root__dynamic__normal__tau_0p95__lasttt_500	root_postprocess	mp__root__dynamic__normal__tau_0p95__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	normal	0.95	500	default
post__root__dynamic__normal__tau_0p95__lasttt_500	root_postprocess	mp__root__dynamic__normal__tau_0p95__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	normal	0.95	500	default
review__root__dynamic__normal__tau_0p95__lasttt_500	root_review	post__root__dynamic__normal__tau_0p95__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	normal	0.95	500	default
post__root__dynamic__normal__tau_0p95__lasttt_5000	root_postprocess	mp__root__dynamic__normal__tau_0p95__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	normal	0.95	5000	default
post__root__dynamic__normal__tau_0p95__lasttt_5000	root_postprocess	mp__root__dynamic__normal__tau_0p95__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	normal	0.95	5000	default
review__root__dynamic__normal__tau_0p95__lasttt_5000	root_review	post__root__dynamic__normal__tau_0p95__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	normal	0.95	5000	default
post__root__static_paper__gausmix__tau_0p05__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p05__tt_100__al	model_path	requires_model_path_done	static_paper	gausmix	0.05	100	paper
post__root__static_paper__gausmix__tau_0p05__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p05__tt_100__exal	model_path	requires_model_path_done	static_paper	gausmix	0.05	100	paper
review__root__static_paper__gausmix__tau_0p05__tt_100	root_review	post__root__static_paper__gausmix__tau_0p05__tt_100	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.05	100	paper
post__root__static_paper__gausmix__tau_0p05__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p05__tt_1000__al	model_path	requires_model_path_done	static_paper	gausmix	0.05	1000	paper
post__root__static_paper__gausmix__tau_0p05__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p05__tt_1000__exal	model_path	requires_model_path_done	static_paper	gausmix	0.05	1000	paper
review__root__static_paper__gausmix__tau_0p05__tt_1000	root_review	post__root__static_paper__gausmix__tau_0p05__tt_1000	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.05	1000	paper
post__root__static_paper__gausmix__tau_0p25__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p25__tt_100__al	model_path	requires_model_path_done	static_paper	gausmix	0.25	100	paper
post__root__static_paper__gausmix__tau_0p25__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	model_path	requires_model_path_done	static_paper	gausmix	0.25	100	paper
review__root__static_paper__gausmix__tau_0p25__tt_100	root_review	post__root__static_paper__gausmix__tau_0p25__tt_100	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.25	100	paper
post__root__static_paper__gausmix__tau_0p25__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p25__tt_1000__al	model_path	requires_model_path_done	static_paper	gausmix	0.25	1000	paper
post__root__static_paper__gausmix__tau_0p25__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p25__tt_1000__exal	model_path	requires_model_path_done	static_paper	gausmix	0.25	1000	paper
review__root__static_paper__gausmix__tau_0p25__tt_1000	root_review	post__root__static_paper__gausmix__tau_0p25__tt_1000	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.25	1000	paper
post__root__static_paper__gausmix__tau_0p95__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p95__tt_100__al	model_path	requires_model_path_done	static_paper	gausmix	0.95	100	paper
post__root__static_paper__gausmix__tau_0p95__tt_100	root_postprocess	mp__root__static_paper__gausmix__tau_0p95__tt_100__exal	model_path	requires_model_path_done	static_paper	gausmix	0.95	100	paper
review__root__static_paper__gausmix__tau_0p95__tt_100	root_review	post__root__static_paper__gausmix__tau_0p95__tt_100	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.95	100	paper
post__root__static_paper__gausmix__tau_0p95__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p95__tt_1000__al	model_path	requires_model_path_done	static_paper	gausmix	0.95	1000	paper
post__root__static_paper__gausmix__tau_0p95__tt_1000	root_postprocess	mp__root__static_paper__gausmix__tau_0p95__tt_1000__exal	model_path	requires_model_path_done	static_paper	gausmix	0.95	1000	paper
review__root__static_paper__gausmix__tau_0p95__tt_1000	root_review	post__root__static_paper__gausmix__tau_0p95__tt_1000	root_postprocess	requires_postprocess_and_report_done	static_paper	gausmix	0.95	1000	paper
post__root__static_paper__laplace__tau_0p05__tt_100	root_postprocess	mp__root__static_paper__laplace__tau_0p05__tt_100__al	model_path	requires_model_path_done	static_paper	laplace	0.05	100	paper
post__root__static_paper__laplace__tau_0p05__tt_100	root_postprocess	mp__root__static_paper__laplace__tau_0p05__tt_100__exal	model_path	requires_model_path_done	static_paper	laplace	0.05	100	paper
review__root__static_paper__laplace__tau_0p05__tt_100	root_review	post__root__static_paper__laplace__tau_0p05__tt_100	root_postprocess	requires_postprocess_and_report_done	static_paper	laplace	0.05	100	paper
post__root__static_paper__laplace__tau_0p05__tt_1000	root_postprocess	mp__root__static_paper__laplace__tau_0p05__tt_1000__al	model_path	requires_model_path_done	static_paper	laplace	0.05	1000	paper
post__root__static_paper__laplace__tau_0p05__tt_1000	root_postprocess	mp__root__static_paper__laplace__tau_0p05__tt_1000__exal	model_path	requires_model_path_done	static_paper	laplace	0.05	1000	paper
review__root__static_paper__laplace__tau_0p05__tt_1000	root_review	post__root__static_paper__laplace__tau_0p05__tt_1000	root_postprocess	requires_postprocess_and_report_done	static_paper	laplace	0.05	1000	paper
