"phase","total","done","missing","pass","warn","fail","healthy","matches_accepted","better_than_accepted","worse_than_accepted","pending_compare"
"phase1_vb_all",144,0,144,0,0,0,0,0,0,0,144
"phase2_static_paper_mcmc",36,0,36,0,0,0,0,0,0,0,36
"phase3_static_shrink_ridge_mcmc",36,0,36,0,0,0,0,0,0,0,36
"phase4_static_shrink_rhsns_mcmc",36,0,36,0,0,0,0,0,0,0,36
"phase5_dynamic_mcmc",30,0,30,0,0,0,0,0,0,0,30
