"prior_semantics","total","pass","warn","fail","healthy_true","healthy_false","pct_pass","pct_warn","pct_fail","runtime_sec_total","runtime_sec_mean","runtime_sec_median"
"default",72,56,10,6,66,6,77.8,13.9,8.3,165458.916,3121.866,742.807
"paper",72,57,15,0,72,0,79.2,20.8,0,1293.91,32.348,14.963
"rhs",72,60,12,0,72,0,83.3,16.7,0,2364.318,52.54,13.807
"ridge",72,57,15,0,72,0,79.2,20.8,0,1285.047,32.126,14.855
