scenario_id	scenario_label	ess_min	acf1_max	geweke_max	drift_max	rescued_soft_rows	rescued_soft_pct
baseline_recommended	Current recommended policy	5	0.995	5	0.75	0	0
moderate_relax	Moderate MCMC threshold relaxation	3	0.998	7.5	1	0	0
aggressive_relax	Aggressive MCMC threshold relaxation	1	0.999	10	1.5	27	56.2
