key	root_id	inference	model	signoff_reason_before	signoff_reason_after	change_class
root__static_shrink__normal__tau_0p25__tt_100__rhs||vb||exal	root__static_shrink__normal__tau_0p25__tt_100__rhs	vb	exal	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	unchanged
root__static_shrink__normal__tau_0p25__tt_100__rhs||mcmc||exal	root__static_shrink__normal__tau_0p25__tt_100__rhs	mcmc	exal	non_finite_fit	non_finite_fit	unchanged
root__static_shrink__normal__tau_0p25__tt_100__ridge||vb||exal	root__static_shrink__normal__tau_0p25__tt_100__ridge	vb	exal	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	unchanged
root__static_shrink__normal__tau_0p25__tt_1000__rhs||vb||exal	root__static_shrink__normal__tau_0p25__tt_1000__rhs	vb	exal	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	unchanged
root__static_shrink__normal__tau_0p25__tt_1000__rhs||mcmc||exal	root__static_shrink__normal__tau_0p25__tt_1000__rhs	mcmc	exal	non_finite_fit; low_ess; high_autocorrelation; geweke_drift; half_chain_drift	non_finite_fit; low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
root__static_shrink__normal__tau_0p25__tt_1000__ridge||vb||exal	root__static_shrink__normal__tau_0p25__tt_1000__ridge	vb	exal	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	unchanged
root__static_shrink__normal__tau_0p25__tt_1000__ridge||mcmc||exal	root__static_shrink__normal__tau_0p25__tt_1000__ridge	mcmc	exal	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
root__static_shrink__normal__tau_0p95__tt_100__rhs||mcmc||exal	root__static_shrink__normal__tau_0p95__tt_100__rhs	mcmc	exal	low_ess	low_ess	unchanged
root__static_shrink__normal__tau_0p95__tt_100__ridge||mcmc||exal	root__static_shrink__normal__tau_0p95__tt_100__ridge	mcmc	exal	low_ess	low_ess	unchanged
root__static_shrink__normal__tau_0p95__tt_1000__rhs||mcmc||exal	root__static_shrink__normal__tau_0p95__tt_1000__rhs	mcmc	exal	low_ess; high_autocorrelation; half_chain_drift	low_ess; high_autocorrelation; half_chain_drift	unchanged
root__static_shrink__normal__tau_0p95__tt_1000__ridge||mcmc||exal	root__static_shrink__normal__tau_0p95__tt_1000__ridge	mcmc	exal	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
