task_id	unit_type	root_id	barrier_id	root_kind	family	tau	fit_size	prior	model	state	launch_ready	launch_mode	slot_cost	priority	prepared_root	run_root	script_ref	notes
mp__root__dynamic__normal__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_5000	NA	dynamic	normal	0.95	5000	default	dqlm	partial_stale	TRUE	fresh_vb_then_mcmc	1	1	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_5000	NA	dynamic	normal	0.95	5000	default	exdqlm	partial_stale	TRUE	fresh_vb_then_mcmc	1	1	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	NA	dynamic	laplace	0.95	500	default	dqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	NA	dynamic	laplace	0.95	500	default	exdqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	NA	dynamic	normal	0.05	500	default	dqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	NA	dynamic	normal	0.05	500	default	exdqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	NA	dynamic	normal	0.25	500	default	dqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	NA	dynamic	normal	0.25	500	default	exdqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_500	NA	dynamic	normal	0.95	500	default	dqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_500	NA	dynamic	normal	0.95	500	default	exdqlm	missing	TRUE	fresh_vb_then_mcmc	1	2	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_1000__al	model_path	root__static_paper__gausmix__tau_0p95__tt_1000	NA	static_paper	gausmix	0.95	1000	paper	al	missing	TRUE	fresh_vb_then_mcmc	1	3	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_1000__exal	model_path	root__static_paper__gausmix__tau_0p95__tt_1000	NA	static_paper	gausmix	0.95	1000	paper	exal	missing	TRUE	fresh_vb_then_mcmc	1	3	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p95__tt_1000__al	model_path	root__static_paper__laplace__tau_0p95__tt_1000	NA	static_paper	laplace	0.95	1000	paper	al	missing	TRUE	fresh_vb_then_mcmc	1	3	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
