"original_case_key","family","tau","fit_size","prior_semantics","model","inference","candidate_rows","distinct_gate_count","distinct_fit_path_count","candidate_subtypes","gates"
"static_shrink::gausmix::0p05::100::rhs::al::mcmc","gausmix","0p05",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p05::100::rhs::al::vb","gausmix","0p05",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::gausmix::0p05::100::rhs::exal::mcmc","gausmix","0p05",100,"rhs","exal","mcmc",2,2,2,"static_refresh_nonfail","PASS; WARN"
"static_shrink::gausmix::0p05::100::rhs::exal::vb","gausmix","0p05",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p05::1000::rhs::al::mcmc","gausmix","0p05",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p05::1000::rhs::al::vb","gausmix","0p05",1000,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::gausmix::0p05::1000::rhs::exal::mcmc","gausmix","0p05",1000,"rhs","exal","mcmc",3,1,2,"static_residual_broad_default; legacy_rhs_refresh","WARN"
"static_shrink::gausmix::0p05::1000::rhs::exal::vb","gausmix","0p05",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p25::100::rhs::al::mcmc","gausmix","0p25",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p25::100::rhs::al::vb","gausmix","0p25",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::gausmix::0p25::100::rhs::exal::mcmc","gausmix","0p25",100,"rhs","exal","mcmc",2,1,1,"static_residual_broad_default","WARN"
"static_shrink::gausmix::0p25::100::rhs::exal::vb","gausmix","0p25",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::gausmix::0p25::1000::rhs::al::mcmc","gausmix","0p25",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p25::1000::rhs::al::vb","gausmix","0p25",1000,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::gausmix::0p25::1000::rhs::exal::mcmc","gausmix","0p25",1000,"rhs","exal","mcmc",2,1,1,"static_residual_broad_default","WARN"
"static_shrink::gausmix::0p25::1000::rhs::exal::vb","gausmix","0p25",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::gausmix::0p95::100::rhs::al::mcmc","gausmix","0p95",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p95::100::rhs::al::vb","gausmix","0p95",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::gausmix::0p95::100::rhs::exal::mcmc","gausmix","0p95",100,"rhs","exal","mcmc",3,2,3,"static_local_override; current_rhsns_impl_refresh; static_refresh_nonfail","PASS; WARN"
"static_shrink::gausmix::0p95::100::rhs::exal::vb","gausmix","0p95",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p95::1000::rhs::al::mcmc","gausmix","0p95",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p95::1000::rhs::al::vb","gausmix","0p95",1000,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::gausmix::0p95::1000::rhs::exal::mcmc","gausmix","0p95",1000,"rhs","exal","mcmc",2,2,2,"static_residual_broad_default; static_refresh_nonfail","PASS; WARN"
"static_shrink::gausmix::0p95::1000::rhs::exal::vb","gausmix","0p95",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p05::100::rhs::al::mcmc","laplace","0p05",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p05::100::rhs::al::vb","laplace","0p05",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::laplace::0p05::100::rhs::exal::mcmc","laplace","0p05",100,"rhs","exal","mcmc",3,2,3,"static_refresh_nonfail; current_rhsns_impl_refresh","PASS; WARN"
"static_shrink::laplace::0p05::100::rhs::exal::vb","laplace","0p05",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p05::1000::rhs::al::mcmc","laplace","0p05",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p05::1000::rhs::al::vb","laplace","0p05",1000,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::laplace::0p05::1000::rhs::exal::mcmc","laplace","0p05",1000,"rhs","exal","mcmc",2,2,2,"static_refresh_nonfail; static_residual_broad_default","PASS; WARN"
