phase,family,tau_label,model,inference,error_signature,n_rows
phase1_dynamic_tt5000_exact_replay,gausmix,0p05,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p05,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p05,exdqlm,mcmc,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p05,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p25,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p25,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p25,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p25,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p95,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p95,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p95,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,gausmix,0p95,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p05,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,laplace,0p05,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p05,exdqlm,mcmc,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p05,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p25,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,laplace,0p25,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p25,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,laplace,0p25,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p95,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,laplace,0p95,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,laplace,0p95,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,laplace,0p95,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p05,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,normal,0p05,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p05,exdqlm,mcmc,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p05,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p25,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,normal,0p25,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p25,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,normal,0p25,exdqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p95,dqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,normal,0p95,dqlm,vb,computationally_singular,4
phase1_dynamic_tt5000_exact_replay,normal,0p95,exdqlm,mcmc,chi_nonfinite,4
phase1_dynamic_tt5000_exact_replay,normal,0p95,exdqlm,vb,computationally_singular,4
phase2_dynamic_tt5000_historical_repair,gausmix,0p05,dqlm,mcmc,chi_nonfinite,4
phase2_dynamic_tt5000_historical_repair,gausmix,0p25,dqlm,mcmc,computationally_singular,8
phase2_dynamic_tt5000_historical_repair,gausmix,0p25,exdqlm,mcmc,chi_nonfinite,12
phase2_dynamic_tt5000_historical_repair,gausmix,0p95,dqlm,mcmc,computationally_singular,4
phase2_dynamic_tt5000_historical_repair,laplace,0p25,exdqlm,mcmc,chi_nonfinite,4
phase2_dynamic_tt5000_historical_repair,laplace,0p95,exdqlm,mcmc,computationally_singular,4
phase2_dynamic_tt5000_historical_repair,normal,0p05,dqlm,mcmc,computationally_singular,8
phase2_dynamic_tt5000_historical_repair,normal,0p25,exdqlm,mcmc,computationally_singular,4
phase2_dynamic_tt5000_historical_repair,normal,0p95,exdqlm,mcmc,computationally_singular,4
