"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","missing_inputs","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","stored_posterior_draws"
1,1,"dynamic::gausmix::0p05::500::default::dqlm::vb","dynamic::gausmix::0p05::500::default::dqlm",192358,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","dqlm","vb","dynamic::gausmix::0p05::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0001_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0001_dynamic_gausmix_0p05_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0001_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0001_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0001_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0001_draws.rds",20000
2,2,"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic::gausmix::0p05::500::default::dqlm",201874,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","dqlm","mcmc","dynamic::gausmix::0p05::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0002_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0002_dynamic_gausmix_0p05_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0002_dynamic_gausmix_0p05_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0002_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0002_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0002_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0002_draws.rds",20000
3,3,"dynamic::gausmix::0p05::500::default::exdqlm::vb","dynamic::gausmix::0p05::500::default::exdqlm",202621,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","exdqlm","vb","dynamic::gausmix::0p05::500","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0003_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0003_dynamic_gausmix_0p05_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0003_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0003_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0003_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0003_draws.rds",20000
4,4,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic::gausmix::0p05::500::default::exdqlm",212537,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","exdqlm","mcmc","dynamic::gausmix::0p05::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0004_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0004_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0004_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0004_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0004_draws.rds",20000
5,5,"dynamic::gausmix::0p05::5000::default::dqlm::vb","dynamic::gausmix::0p05::5000::default::dqlm",195437,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","dqlm","vb","dynamic::gausmix::0p05::5000","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0005_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0005_dynamic_gausmix_0p05_5000_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0005_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0005_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0005_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0005_draws.rds",20000
6,6,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","dynamic::gausmix::0p05::5000::default::dqlm",205153,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","dqlm","mcmc","dynamic::gausmix::0p05::5000","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0006_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0006_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0006_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0006_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0006_draws.rds",20000
7,7,"dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic::gausmix::0p05::5000::default::exdqlm",205921,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","exdqlm","vb","dynamic::gausmix::0p05::5000","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0007_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0007_dynamic_gausmix_0p05_5000_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0007_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0007_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0007_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0007_draws.rds",20000
8,8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default::exdqlm",216037,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p05::5000","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0008_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0008_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0008_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0008_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0008_draws.rds",20000
9,9,"dynamic::gausmix::0p25::500::default::dqlm::vb","dynamic::gausmix::0p25::500::default::dqlm",192400,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","dqlm","vb","dynamic::gausmix::0p25::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0009_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0009_dynamic_gausmix_0p25_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0009_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0009_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0009_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0009_draws.rds",20000
10,10,"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic::gausmix::0p25::500::default::dqlm",201916,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","dqlm","mcmc","dynamic::gausmix::0p25::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0010_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0010_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0010_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0010_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0010_draws.rds",20000
11,11,"dynamic::gausmix::0p25::500::default::exdqlm::vb","dynamic::gausmix::0p25::500::default::exdqlm",202663,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","exdqlm","vb","dynamic::gausmix::0p25::500","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0011_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0011_dynamic_gausmix_0p25_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0011_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0011_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0011_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0011_draws.rds",20000
12,12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default::exdqlm",212579,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","exdqlm","mcmc","dynamic::gausmix::0p25::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0012_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0012_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0012_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0012_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0012_draws.rds",20000
13,13,"dynamic::gausmix::0p25::5000::default::dqlm::vb","dynamic::gausmix::0p25::5000::default::dqlm",195479,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","dqlm","vb","dynamic::gausmix::0p25::5000","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0013_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0013_dynamic_gausmix_0p25_5000_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0013_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0013_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0013_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0013_draws.rds",20000
14,14,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic::gausmix::0p25::5000::default::dqlm",205195,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","dqlm","mcmc","dynamic::gausmix::0p25::5000","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0014_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0014_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0014_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0014_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0014_draws.rds",20000
15,15,"dynamic::gausmix::0p25::5000::default::exdqlm::vb","dynamic::gausmix::0p25::5000::default::exdqlm",205963,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","vb","dynamic::gausmix::0p25::5000","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0015_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0015_dynamic_gausmix_0p25_5000_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0015_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0015_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0015_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0015_draws.rds",20000
16,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default::exdqlm",216079,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p25::5000","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0016_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0016_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0016_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0016_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0016_draws.rds",20000
17,17,"dynamic::gausmix::0p50::500::default::dqlm::vb","dynamic::gausmix::0p50::500::default::dqlm",192353,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","dqlm","vb","dynamic::gausmix::0p50::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0017_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0017_dynamic_gausmix_0p50_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0017_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0017_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0017_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0017_draws.rds",20000
18,18,"dynamic::gausmix::0p50::500::default::dqlm::mcmc","dynamic::gausmix::0p50::500::default::dqlm",201869,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","dqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0018_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0018_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0018_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0018_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0018_draws.rds",20000
19,19,"dynamic::gausmix::0p50::500::default::exdqlm::vb","dynamic::gausmix::0p50::500::default::exdqlm",202616,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","exdqlm","vb","dynamic::gausmix::0p50::500","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0019_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0019_dynamic_gausmix_0p50_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0019_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0019_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0019_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0019_draws.rds",20000
20,20,"dynamic::gausmix::0p50::500::default::exdqlm::mcmc","dynamic::gausmix::0p50::500::default::exdqlm",212532,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","exdqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0020_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0020_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0020_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0020_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0020_draws.rds",20000
21,21,"dynamic::gausmix::0p50::5000::default::dqlm::vb","dynamic::gausmix::0p50::5000::default::dqlm",195432,"not_started","full_dynamic_vb",6,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","dqlm","vb","dynamic::gausmix::0p50::5000","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0021_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0021_dynamic_gausmix_0p50_5000_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0021_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0021_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0021_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0021_draws.rds",20000
22,22,"dynamic::gausmix::0p50::5000::default::dqlm::mcmc","dynamic::gausmix::0p50::5000::default::dqlm",205148,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","dqlm","mcmc","dynamic::gausmix::0p50::5000","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/configs/row_0022_run_config.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/rows/row_0022_status.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/health/row_0022_health.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/metrics/row_0022_metrics.csv","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/draws/row_0022_draws.rds",20000
