"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","missing_inputs","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","stored_posterior_draws"
65,65,"dynamic::normal::0p50::500::default::dqlm::vb","dynamic::normal::0p50::500::default::dqlm",188043,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","normal",0.5,"0p50",500,"default","dqlm","vb","dynamic::normal::0p50::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0065_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/vb/row_0065_dynamic_normal_0p50_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0065_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0065_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0065_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0065_draws.rds",20000
66,66,"dynamic::normal::0p50::500::default::dqlm::mcmc","dynamic::normal::0p50::500::default::dqlm",197359,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","normal",0.5,"0p50",500,"default","dqlm","mcmc","dynamic::normal::0p50::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0066_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/mcmc/row_0066_dynamic_normal_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/vb_init/dynamic/row_0066_dynamic_normal_0p50_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0066_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0066_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0066_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0066_draws.rds",20000
67,67,"dynamic::normal::0p50::500::default::exdqlm::vb","dynamic::normal::0p50::500::default::exdqlm",198085,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","normal",0.5,"0p50",500,"default","exdqlm","vb","dynamic::normal::0p50::500","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0067_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/vb/row_0067_dynamic_normal_0p50_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0067_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0067_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0067_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0067_draws.rds",20000
68,68,"dynamic::normal::0p50::500::default::exdqlm::mcmc","dynamic::normal::0p50::500::default::exdqlm",207801,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","normal",0.5,"0p50",500,"default","exdqlm","mcmc","dynamic::normal::0p50::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0068_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/mcmc/row_0068_dynamic_normal_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/vb_init/dynamic/row_0068_dynamic_normal_0p50_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0068_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0068_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0068_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0068_draws.rds",20000
69,69,"dynamic::normal::0p50::5000::default::dqlm::vb","dynamic::normal::0p50::5000::default::dqlm",191074,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","dqlm","vb","dynamic::normal::0p50::5000","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0069_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/vb/row_0069_dynamic_normal_0p50_5000_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0069_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0069_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0069_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0069_draws.rds",20000
70,70,"dynamic::normal::0p50::5000::default::dqlm::mcmc","dynamic::normal::0p50::5000::default::dqlm",200590,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","dqlm","mcmc","dynamic::normal::0p50::5000","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0070_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/mcmc/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/vb_init/dynamic/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0070_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0070_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0070_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0070_draws.rds",20000
71,71,"dynamic::normal::0p50::5000::default::exdqlm::vb","dynamic::normal::0p50::5000::default::exdqlm",201337,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","exdqlm","vb","dynamic::normal::0p50::5000","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0071_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/vb/row_0071_dynamic_normal_0p50_5000_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0071_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0071_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0071_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0071_draws.rds",20000
72,72,"dynamic::normal::0p50::5000::default::exdqlm::mcmc","dynamic::normal::0p50::5000::default::exdqlm",211253,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::normal::0p50::5000","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0072_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/mcmc/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/vb_init/dynamic/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0072_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0072_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0072_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0072_draws.rds",20000
137,137,"static_paper::normal::0p50::100::paper::al::vb","static_paper::normal::0p50::100::paper::al",188580,"not_started","smoke_static_vb",1,FALSE,"static","static_paper","normal",0.5,"0p50",100,"paper","al","vb","static_paper::normal::0p50::100","static_paper__paper__al__vb","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0137_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/vb/row_0137_static_paper_normal_0p50_100_paper_al_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0137_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0137_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0137_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0137_draws.rds",20000
138,138,"static_paper::normal::0p50::100::paper::al::mcmc","static_paper::normal::0p50::100::paper::al",198096,"not_started","smoke_static_mcmc",3,FALSE,"static","static_paper","normal",0.5,"0p50",100,"paper","al","mcmc","static_paper::normal::0p50::100","static_paper__paper__al__mcmc","tools/merge_reports/full288_refreshed288_paperaligned_20260416/configs/row_0138_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416","tools/merge_reports/full288_refreshed288_paperaligned_20260416/fits/mcmc/row_0138_static_paper_normal_0p50_100_paper_al_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/vb_init/static/row_0138_static_paper_normal_0p50_100_paper_al_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260416/rows/row_0138_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/health/row_0138_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/metrics/row_0138_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260416/draws/row_0138_draws.rds",20000
