"block","root_kind","family","tau","fit_size","prior_semantics","model","inference","method","root_id","original_scenario_key","original_case_key","baseline_gate_overall","baseline_healthy","selected_source_type","selected_source_subtype","selected_candidate","selected_variant_tag","selected_fit_path","selected_health_path","selected_summary_path","source_path","gate_overall","healthy","runtime_sec","improved_over_baseline","selection_mode","selection_reason"
"dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","mcmc::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","FAIL",FALSE,"dynamic_restored_closure_20260410","phase1_dynamic_reinforcement","final_gmix025_tt500_slice_deep320_long","orig288_sync0p4p0_dynamic_restored_closure_20260410","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix025_tt500_slice_deep320_long.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/health/health_0003.csv",,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/health/health_0003.csv","WARN",TRUE,1807.956,TRUE,"promoted_dynamic_restored_closure","Promote dynamic restored-closure candidate final_gmix025_tt500_slice_deep320_long after improving accepted carry-forward from FAIL to WARN; winner chosen within case by gate, multi-metric rank, and runtime."
"dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::exdqlm::vb","WARN",TRUE,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0006","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","PASS",TRUE,135.082,TRUE,"promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0006 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
"dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","mcmc","mcmc::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::dqlm::mcmc","WARN",TRUE,"dynamic_summary_csv","dynamic_archive_summary","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p25_fit_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823_dqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.csv","PASS",TRUE,9779.123,TRUE,"promoted_over_healthy_baseline","Promoted `adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823` because it improved the original baseline gate from `WARN` to `PASS`."
"dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::dqlm::vb","PASS",TRUE,"baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p25_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","PASS",TRUE,,FALSE,"baseline_kept","Baseline original fit already healthy and no promoted candidate was required."
"dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","mcmc","mcmc::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","FAIL",FALSE,"hybrid_291_selection","dynamic_local_override","row15_slice_exact_20260405","row15_slice_exact_20260405","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_row15_slice_exact_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_row15_slice_exact_20260405_exdqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_row15_slice_exact_20260405.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_row15_slice_exact_20260405.csv","WARN",TRUE,5809.576,TRUE,"promoted_over_fail_baseline","Promoted `row15_slice_exact_20260405` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence."
"dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::exdqlm::vb","WARN",TRUE,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0008","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","PASS",TRUE,552.729,TRUE,"promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0008 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
"dynamic","dynamic","gausmix","0p95",500,"default","dqlm","mcmc","mcmc::dqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::dqlm::mcmc","FAIL",FALSE,"dynamic_archive_rescore_20260405","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p95_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0010.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0010.csv","PASS",TRUE,901.878,TRUE,"promoted_dynamic_residual","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS."
"dynamic","dynamic","gausmix","0p95",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::dqlm::vb","PASS",TRUE,"baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p95_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","PASS",TRUE,,FALSE,"baseline_kept","Baseline original fit already healthy and no promoted candidate was required."
"dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","mcmc","mcmc::exdqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::exdqlm::mcmc","FAIL",FALSE,"dynamic_tail8_20260405","anchor8_slice_sync","mcmc_exdqlm_slice_sync","orig288_dyn_tail8_slice_sync_20260405","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_orig288_dyn_tail8_slice_sync_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail8_20260405/health/health_0003.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail8_20260405/health/health_0003.csv","PASS",TRUE,475.721,TRUE,"promoted_dynamic_tail8","Promote dynamic tail-8 candidate orig288_dyn_tail8_slice_sync_20260405 from phase anchor8_slice_sync after improving original baseline from FAIL to PASS."
"dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::exdqlm::vb","WARN",TRUE,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0010","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","PASS",TRUE,168.768,TRUE,"promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0010 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
