root_id	run_root	action	status	note
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__laplace__tau_0p95__tt_1000__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p05__tt_100__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p05__tt_100__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p05__tt_1000__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p05__tt_1000__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p25__tt_100__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p25__tt_100__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p25__tt_1000__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p25__tt_1000__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p95__tt_100__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p95__tt_100__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p95__tt_1000__rhs	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__normal__tau_0p95__tt_1000__ridge	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	skip_not_complete_on_jerez	skipped	Jerez root is not complete under the canonical relaunch contract.
