original_case_key,phase2_candidate_count,phase2_candidate_labels
dynamic::gausmix::0p05::5000::default::dqlm::mcmc,1,hist_01_dynamic_tail_cppgig_refresh_20260331
dynamic::gausmix::0p25::5000::default::dqlm::mcmc,2,hist_01_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823; hist_02_adaptive_pilot_20260326_050105_23608_2627313_q02_P2_dqlm_tau0p25_tt5000_s2026032813
dynamic::gausmix::0p25::5000::default::exdqlm::mcmc,3,hist_01_row15_slice_exact_20260405; hist_02_row15_slice_exact_20260405; hist_03_slice_wave2_20260319
dynamic::gausmix::0p95::5000::default::dqlm::mcmc,1,hist_01_tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix
dynamic::laplace::0p25::5000::default::exdqlm::mcmc,1,hist_01_slice_wave2_20260319_laplace_indep1
dynamic::laplace::0p95::5000::default::exdqlm::mcmc,1,hist_01_tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace
dynamic::normal::0p05::5000::default::dqlm::mcmc,2,hist_01_tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal; hist_02_tierA_dqlm_smoke_20260322
dynamic::normal::0p25::5000::default::exdqlm::mcmc,1,hist_01_slice_wave2_20260319
dynamic::normal::0p95::5000::default::exdqlm::mcmc,1,hist_01_tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal
