"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","stored_posterior_draws","source_failed_row_id","source_runtime_mode","source_error","runtime_failure_rerun_arm","retain_candidate_fit_binaries","retain_vb_init_binaries","retain_draw_binaries"
11,11,"dynamic::gausmix::0p25::500::default::exdqlm::vb","dynamic::gausmix::0p25::500::default::exdqlm",202663,"not_started","numerical_vb_primary",1,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","exdqlm","vb","dynamic::gausmix::0p25::500","runtime_dynamic__exdqlm__vb__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0011_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/vb/row_0011_dynamic_gausmix_0p25_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0011_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0011_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0011_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0011_draws.rds",20000,11,"ldvb_q_t1_na","ldvb_q_t1 is NA","thetafreeze_primary",TRUE,TRUE,TRUE
8,8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default::exdqlm",216037,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p05::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0008_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0008_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0008_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0008_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0008_draws.rds",20000,8,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
12,12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default::exdqlm",212579,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","exdqlm","mcmc","dynamic::gausmix::0p25::500","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0012_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0012_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0012_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0012_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0012_draws.rds",20000,12,"ldvb_q_t1_na","ldvb_q_t1 is NA","thetafreeze_primary",TRUE,TRUE,TRUE
16,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default::exdqlm",216079,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p25::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0016_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0016_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0016_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0016_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0016_draws.rds",20000,16,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
24,24,"dynamic::gausmix::0p50::5000::default::exdqlm::mcmc","dynamic::gausmix::0p50::5000::default::exdqlm",216032,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p50::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0024_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0024_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0024_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0024_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0024_draws.rds",20000,24,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
32,32,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic::laplace::0p05::5000::default::exdqlm",215374,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","laplace",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::laplace::0p05::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0032_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0032_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0032_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0032_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0032_draws.rds",20000,32,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
40,40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic::laplace::0p25::5000::default::exdqlm",215416,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","laplace",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::laplace::0p25::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0040_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0040_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0040_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0040_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0040_draws.rds",20000,40,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
48,48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","dynamic::laplace::0p50::5000::default::exdqlm",215369,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","laplace",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::laplace::0p50::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0048_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0048_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0048_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0048_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0048_draws.rds",20000,48,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
56,56,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic::normal::0p05::5000::default::exdqlm",211258,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","normal",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::normal::0p05::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0056_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0056_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0056_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0056_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0056_draws.rds",20000,56,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
64,64,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","dynamic::normal::0p25::5000::default::exdqlm",211298,"not_started","numerical_exdqlm_mcmc",2,"dynamic","dynamic","normal",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::normal::0p25::5000","runtime_dynamic__exdqlm__mcmc__primary","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/configs/row_0064_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/fits/mcmc/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/vb_init/dynamic/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/rows/row_0064_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/health/row_0064_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/metrics/row_0064_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1/draws/row_0064_draws.rds",20000,64,"nonfinite_chi","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","thetafreeze_primary",TRUE,TRUE,TRUE
