root_id	inference	model	target_group	before_signoff_grade	before_signoff_reason	before_comparison_eligible	before_convergence_certified	after_signoff_grade	after_signoff_reason	after_comparison_eligible	after_convergence_certified	change_class	resolved	reason_changed
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	WARN	chain_marginal_but_usable	TRUE	FALSE	resolved	TRUE	TRUE
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	FAIL	high_autocorrelation	FALSE	FALSE	reshuffled_fail	FALSE	TRUE
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	FAIL	low_ess; high_autocorrelation; half_chain_drift	FALSE	FALSE	reshuffled_fail	FALSE	TRUE
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	WARN	chain_marginal_but_usable	TRUE	FALSE	resolved	TRUE	TRUE
root__static_shrink__laplace__tau_0p25__tt_100__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	WARN	chain_marginal_but_usable	TRUE	FALSE	resolved	TRUE	TRUE
root__static_shrink__normal__tau_0p25__tt_100__rhs	mcmc	exal	hard_only	FAIL	non_finite_fit	FALSE	FALSE	WARN	chain_marginal_but_usable	TRUE	FALSE	resolved	TRUE	TRUE
root__dynamic__gausmix__tau_0p05__lasttt_500	vb	exdqlm	vb_debug	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	WARN	ld_unstable	TRUE	FALSE	resolved	TRUE	TRUE
root__dynamic__gausmix__tau_0p05__lasttt_5000	vb	exdqlm	vb_debug	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	unchanged_fail	FALSE	FALSE
root__dynamic__laplace__tau_0p05__lasttt_500	vb	exdqlm	vb_debug	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	WARN	ld_unstable	TRUE	FALSE	resolved	TRUE	TRUE
root__dynamic__laplace__tau_0p05__lasttt_5000	vb	exdqlm	vb_debug	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	unchanged_fail	FALSE	FALSE
root__dynamic__normal__tau_0p05__lasttt_500	vb	exdqlm	vb_debug	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	FALSE	FALSE	WARN	ld_unstable	TRUE	FALSE	resolved	TRUE	TRUE
