"block","model","inference","total","done","missing","pass","warn","fail","healthy","matches_accepted","better_than_accepted","worse_than_accepted","pending_compare"
"dynamic","exdqlm","mcmc",3,3,0,0,0,3,0,0,0,3,0
"static_paper","exal","mcmc",10,10,0,1,3,6,4,2,1,7,0
"static_shrink","al","mcmc",2,2,0,0,2,0,2,0,0,2,0
"static_shrink","exal","mcmc",14,14,0,2,5,7,7,4,2,8,0
