signoff_reason	count_before	count_after	count_delta
non_finite_fit	24	27	3
half_chain_drift	37	25	-12
geweke_drift	27	23	-4
ld_unstable	23	23	0
vb_converged_false	23	23	0
elbo_tail_unstable	18	18	0
missing_elbo_trace	18	18	0
low_ess	26	17	-9
high_autocorrelation	11	13	2
core_parameter_tail_unstable	5	5	0
