"phase","phase_order","lane_label","family","tau","tau_label","n_train","n_test","train_reps","test_reps"
"phase1_paper_matched_core",1,"paper_matched_core","gausmix",0.05,"0p05",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","gausmix",0.25,"0p25",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","gausmix",0.5,"0p50",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","laplace",0.05,"0p05",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","laplace",0.25,"0p25",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","laplace",0.5,"0p50",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","normal",0.05,"0p05",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","normal",0.25,"0p25",100,100,100,100
"phase1_paper_matched_core",1,"paper_matched_core","normal",0.5,"0p50",100,100,100,100
"phase2_extension_n1000",2,"extension_n1000","gausmix",0.05,"0p05",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","gausmix",0.25,"0p25",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","gausmix",0.5,"0p50",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","laplace",0.05,"0p05",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","laplace",0.25,"0p25",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","laplace",0.5,"0p50",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","normal",0.05,"0p05",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","normal",0.25,"0p25",1000,100,100,100
"phase2_extension_n1000",2,"extension_n1000","normal",0.5,"0p50",1000,100,100,100
