"method_profile_id","block","root_kind","prior_semantics","model","inference","fit_engine","dqlm_ind","beta_prior","stored_posterior_draws","df_value","dim_df","vb_method","vb_max_iter","vb_tol","vb_n_samp_internal","n_samp_xi","init_from_vb","vb_init_profile_id","vb_init_method","vb_init_max_iter","vb_init_tol","vb_init_n_samp","vb_init_n_samp_xi","n_burn","n_mcmc","thin","mh_proposal","slice_width","slice_max_steps","mh_adapt","trace_diagnostics","trace_every","ld_control_profile","notes"
"dynamic__dqlm__mcmc","dynamic","dynamic","default","dqlm","mcmc","exdqlmMCMC",TRUE,NA,20000,0.98,"2,4","ldvb",NA,NA,NA,NA,TRUE,"dynamic_ldvb_init","ldvb",300,0.03,1000,NA,5000,20000,1,"slice",0.1,Inf,TRUE,TRUE,50,"dynamic_ldvb_init_and_slice","dynamic paper-aligned refreshed study using direct CSV-backed inputs"
"dynamic__dqlm__vb","dynamic","dynamic","default","dqlm","vb","exdqlmLDVB",TRUE,NA,20000,0.98,"2,4","ldvb",300,0.03,20000,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"dynamic_ldvb_full","dynamic paper-aligned refreshed study using direct CSV-backed inputs"
"dynamic__exdqlm__mcmc","dynamic","dynamic","default","exdqlm","mcmc","exdqlmMCMC",FALSE,NA,20000,0.98,"2,4","ldvb",NA,NA,NA,NA,TRUE,"dynamic_ldvb_init","ldvb",300,0.03,1000,NA,5000,20000,1,"slice",0.1,Inf,TRUE,TRUE,50,"dynamic_ldvb_init_and_slice","dynamic paper-aligned refreshed study using direct CSV-backed inputs"
"dynamic__exdqlm__vb","dynamic","dynamic","default","exdqlm","vb","exdqlmLDVB",FALSE,NA,20000,0.98,"2,4","ldvb",300,0.03,20000,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"dynamic_ldvb_full","dynamic paper-aligned refreshed study using direct CSV-backed inputs"
"static_paper__paper__al__mcmc","static","static_paper","paper","al","mcmc","exal_static_mcmc",TRUE,"ridge",20000,NA,NA,"ldvb",NA,NA,NA,NA,TRUE,"static_ldvb_init","ldvb",300,0.03,NA,1000,5000,20000,1,"slice",0.01,Inf,TRUE,TRUE,50,"static_ldvb_init_and_slice","static paper-aligned refreshed study; paper-facing slice MCMC profile"
"static_paper__paper__al__vb","static","static_paper","paper","al","vb","exal_static_LDVB",TRUE,"ridge",20000,NA,NA,"ldvb",300,0.03,NA,1000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"static_ldvb_full","static paper-aligned refreshed study; paper-facing slice MCMC profile"
"static_paper__paper__exal__mcmc","static","static_paper","paper","exal","mcmc","exal_static_mcmc",FALSE,"ridge",20000,NA,NA,"ldvb",NA,NA,NA,NA,TRUE,"static_ldvb_init","ldvb",300,0.03,NA,1000,5000,20000,1,"slice",0.01,Inf,TRUE,TRUE,50,"static_ldvb_init_and_slice","static paper-aligned refreshed study; paper-facing slice MCMC profile"
"static_paper__paper__exal__vb","static","static_paper","paper","exal","vb","exal_static_LDVB",FALSE,"ridge",20000,NA,NA,"ldvb",300,0.03,NA,1000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"static_ldvb_full","static paper-aligned refreshed study; paper-facing slice MCMC profile"
"static_shrink__rhs_ns__al__mcmc","static","static_shrink","rhs_ns","al","mcmc","exal_static_mcmc",TRUE,"rhs_ns",20000,NA,NA,"ldvb",NA,NA,NA,NA,TRUE,"static_ldvb_init","ldvb",300,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,TRUE,TRUE,50,"static_ldvb_init_and_slice","static shrinkage refreshed study; standardized canonical slice MCMC profile"
"static_shrink__rhs_ns__al__vb","static","static_shrink","rhs_ns","al","vb","exal_static_LDVB",TRUE,"rhs_ns",20000,NA,NA,"ldvb",300,0.03,NA,1000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"static_ldvb_full","static shrinkage refreshed study; standardized canonical slice MCMC profile"
"static_shrink__rhs_ns__exal__mcmc","static","static_shrink","rhs_ns","exal","mcmc","exal_static_mcmc",FALSE,"rhs_ns",20000,NA,NA,"ldvb",NA,NA,NA,NA,TRUE,"static_ldvb_init","ldvb",300,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,TRUE,TRUE,50,"static_ldvb_init_and_slice","static shrinkage refreshed study; standardized canonical slice MCMC profile"
"static_shrink__rhs_ns__exal__vb","static","static_shrink","rhs_ns","exal","vb","exal_static_LDVB",FALSE,"rhs_ns",20000,NA,NA,"ldvb",300,0.03,NA,1000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"static_ldvb_full","static shrinkage refreshed study; standardized canonical slice MCMC profile"
"static_shrink__ridge__al__mcmc","static","static_shrink","ridge","al","mcmc","exal_static_mcmc",TRUE,"ridge",20000,NA,NA,"ldvb",NA,NA,NA,NA,TRUE,"static_ldvb_init","ldvb",300,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,TRUE,TRUE,50,"static_ldvb_init_and_slice","static shrinkage refreshed study; standardized canonical slice MCMC profile"
"static_shrink__ridge__al__vb","static","static_shrink","ridge","al","vb","exal_static_LDVB",TRUE,"ridge",20000,NA,NA,"ldvb",300,0.03,NA,1000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"static_ldvb_full","static shrinkage refreshed study; standardized canonical slice MCMC profile"
