root_id	root_kind	family	tau	fit_size	prior	inference	model	signoff_grade	signoff_reason	suggested_action	run_root
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
