"phase","total","done","missing","pass","warn","fail","healthy","matches_accepted","better_than_accepted","worse_than_accepted","pending_compare"
"phase1_static_al_mcmc_bugfix",54,54,0,52,2,0,54,52,0,2,0
"phase2_static_exal_mcmc_exact",27,27,0,3,8,16,11,8,1,18,0
"phase3_dynamic_exdqlm_mcmc_exact",3,3,0,0,0,3,0,0,0,3,0
