"block","model","total_pairs","mcmc_better","vb_better","tie","mcmc_faster","vb_faster","median_runtime_ratio_mcmc_over_vb"
"overall","all",108,8,14,86,0,47,4.845254
"static_paper","al",18,0,0,18,0,0,
"static_paper","exal",18,3,6,9,0,15,4.490708
"static_shrink","al",36,0,0,36,0,2,6.803184
"static_shrink","exal",36,5,8,23,0,30,5.166348
