"method_profile_id","row_id","base_row_id","original_case_key","ts_start","ts_end","status","error","gate_overall","healthy","runtime_sec","phase","block","root_kind","family","tau_label","fit_size","prior_semantics","model","inference","seed","candidate_fit_path","vb_init_fit_path","health_csv","metrics_csv","draws_rds","runtime_mode","recommended_rerun_lane","recommended_secondary_arm","snapshot_time","current_vb_max_iter","current_vb_min_iter","current_vb_tol","current_vb_n_samp_internal","current_sigmagam_vb_warmup_iters","current_sigmagam_vb_min_postwarmup_updates","current_vb_init_max_iter","current_vb_init_min_iter","current_vb_init_tol","current_vb_init_n_samp","current_vb_init_sigmagam_warmup_iters","current_vb_init_sigmagam_min_postwarmup_updates","current_n_burn","current_n_mcmc","current_sigmagam_mcmc_warmup_iters","current_mh_proposal","current_slice_width","current_slice_max_steps","vb_init_exists","vb_init_fit_class","vb_init_iter","vb_init_converged","vb_init_theta_finite","vb_init_post_pred_finite","vb_init_sfe_finite","vb_init_sigma_min","vb_init_sigma_max","vb_init_gamma_min","vb_init_gamma_max"
"dynamic__dqlm__mcmc",6,6,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","2026-04-18 13:43:42.319828","2026-04-18 13:43:42.320024","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=19.1154 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","mcmc",205153,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0006_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0006_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0006_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,18.3632270349417,19.904951865733,,
"dynamic__exdqlm__mcmc",8,8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","2026-04-18 14:17:40.458078","2026-04-18 14:17:40.458257","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc",216037,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0008_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0008_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0008_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0428534509066925,30.0286957854705,1.87657355269815,15.6621981366529
"dynamic__exdqlm__vb",11,11,"dynamic::gausmix::0p25::500::default::exdqlm::vb","2026-04-17 23:07:35.987066","2026-04-17 23:07:35.987283","failed_runtime","ldvb_q_t1 is NA","FAIL",FALSE,,"full_dynamic_vb","dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","vb",202663,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/vb/row_0011_dynamic_gausmix_0p25_500_default_exdqlm_vb_fit.rds",,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0011_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0011_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0011_draws.rds","ldvb_q_t1_na","dynamic_vb_runtime_rerun",,"2026-04-18 19:14:14 EDT",300,,0.03,20000,10,1,,,,,,,,,,,,,"missing",,,,,,,,,,
"dynamic__exdqlm__mcmc",12,12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","2026-04-18 13:50:19.146889","2026-04-18 13:50:19.147085","failed_runtime","ldvb_q_t1 is NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc",212579,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0012_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0012_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0012_draws.rds","ldvb_q_t1_na","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"missing",,,,,,,,,,
"dynamic__dqlm__mcmc",14,14,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","2026-04-18 14:19:28.447592","2026-04-18 14:19:28.447773","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=83.959 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","mcmc",205195,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0014_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0014_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0014_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,80.9152239785152,87.45962759459,,
"dynamic__exdqlm__mcmc",16,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","2026-04-18 14:47:33.190664","2026-04-18 14:47:33.190847","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","mcmc",216079,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0016_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0016_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0016_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0546006703162767,25.5628027131624,-0.0137026801702351,2.85360645504606
"dynamic__dqlm__mcmc",22,22,"dynamic::gausmix::0p50::5000::default::dqlm::mcmc","2026-04-18 14:55:52.383022","2026-04-18 14:55:52.3832","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=164.573 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p50",5000,"default","dqlm","mcmc",205148,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0022_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0022_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0022_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",88,,TRUE,TRUE,TRUE,158.138136258984,170.158671596753,,
"dynamic__exdqlm__mcmc",24,24,"dynamic::gausmix::0p50::5000::default::exdqlm::mcmc","2026-04-18 15:25:34.060145","2026-04-18 15:25:34.060325","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","gausmix","0p50",5000,"default","exdqlm","mcmc",216032,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0024_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0024_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0024_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0544076824886014,14.3137447187804,-0.832467734725567,1.03503021594864
"dynamic__dqlm__mcmc",30,30,"dynamic::laplace::0p05::5000::default::dqlm::mcmc","2026-04-18 15:50:20.905212","2026-04-18 15:50:20.905384","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=18.1357 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p05",5000,"default","dqlm","mcmc",204490,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0030_dynamic_laplace_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0030_dynamic_laplace_0p05_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0030_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0030_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0030_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,17.4326290157232,18.7663267607936,,
"dynamic__exdqlm__mcmc",32,32,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","2026-04-18 16:03:19.0791","2026-04-18 16:03:19.079303","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc",215374,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0032_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0032_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0032_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0442904991213493,15.9147253807805,1.01005000523323,15.6000344086481
