session	scope	fit_size	prior	log	cmd
qsp_sp100_20260310_004857	static_paper	100	ridge	tools/merge_reports/qsp_sp100_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh paper 100
qsp_sp1k_20260310_004857	static_paper	1000	ridge	tools/merge_reports/qsp_sp1k_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh paper 1000
qsp_ss100r_20260310_004857	static_shrink	100	ridge	tools/merge_reports/qsp_ss100r_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh shrink 100 ridge
qsp_ss100h_20260310_004857	static_shrink	100	rhs	tools/merge_reports/qsp_ss100h_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh shrink 100 rhs
qsp_ss1kr_20260310_004857	static_shrink	1000	ridge	tools/merge_reports/qsp_ss1kr_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh shrink 1000 ridge
qsp_ss1kh_20260310_004857	static_shrink	1000	rhs	tools/merge_reports/qsp_ss1kh_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_static_batch.sh shrink 1000 rhs
qsp_dy500_20260310_004857	dynamic	500		tools/merge_reports/qsp_dy500_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_dynamic_batch.sh 500
qsp_dy5k_20260310_004857	dynamic	5000		tools/merge_reports/qsp_dy5k_20260310_004857.log	bash tools/merge_reports/20260310_run_family_qspec_dynamic_batch.sh 5000
