"original_case_key","block","family","tau","fit_size","prior_semantics","model","inference","gate_overall","selected_variant_tag","queue_group","in_scope"
"static_paper::laplace::0p95::1000::paper::exal::mcmc","static_paper","laplace",0.95,1000,"paper","exal","mcmc","FAIL","static_exal_f080_sub2_s105_rhsns_current_20260403","deferred_static_replay_fail",FALSE
"static_paper::normal::0p25::100::paper::exal::mcmc","static_paper","normal",0.25,100,"paper","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_paper::normal::0p25::1000::paper::exal::mcmc","static_paper","normal",0.25,1000,"paper","exal","mcmc","FAIL","rowfix9_R135_F0825_sub2_s105_none_seed2026091351","deferred_static_replay_fail",FALSE
"static_paper::normal::0p95::1000::paper::exal::mcmc","static_paper","normal",0.95,1000,"paper","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_shrink::gausmix::0p05::100::ridge::exal::mcmc","static_shrink","gausmix",0.05,100,"ridge","exal","mcmc","FAIL","static_exal_f080_sub2_s105_rhsns_current_20260403","deferred_static_replay_fail",FALSE
"static_shrink::gausmix::0p95::1000::ridge::exal::mcmc","static_shrink","gausmix",0.95,1000,"ridge","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_shrink::gausmix::0p05::1000::rhs::exal::mcmc","static_shrink","gausmix",0.05,1000,"rhs","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_shrink::laplace::0p95::1000::rhs::exal::mcmc","static_shrink","laplace",0.95,1000,"rhs","exal","mcmc","FAIL","rhs_legacy_refresh_20260329","deferred_static_replay_fail",FALSE
"static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper","gausmix",0.25,1000,"paper","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_paper::normal::0p25::1000::paper::exal::mcmc","static_paper","normal",0.25,1000,"paper","exal","mcmc","FAIL","rowfix9_R135_F0825_sub2_s105_none_seed2026091351","deferred_static_replay_fail",FALSE
"static_shrink::gausmix::0p05::100::ridge::exal::mcmc","static_shrink","gausmix",0.05,100,"ridge","exal","mcmc","FAIL","static_exal_f080_sub2_s105_rhsns_current_20260403","deferred_static_replay_fail",FALSE
"static_shrink::gausmix::0p05::1000::ridge::exal::mcmc","static_shrink","gausmix",0.05,1000,"ridge","exal","mcmc","FAIL","baseline","deferred_static_replay_fail",FALSE
"static_shrink::laplace::0p95::1000::rhs::exal::mcmc","static_shrink","laplace",0.95,1000,"rhs","exal","mcmc","FAIL","rhs_legacy_refresh_20260329","deferred_static_replay_fail",FALSE
"static_paper::normal::0p05::100::paper::exal::mcmc","static_paper","normal",0.05,100,"paper","exal","mcmc","WARN","failband2_F085_sub2_s100","deferred_stability_review",FALSE
"static_shrink::gausmix::0p95::100::rhs::al::mcmc","static_shrink","gausmix",0.95,100,"rhs","al","mcmc","WARN","baseline","deferred_stability_review",FALSE
"static_shrink::normal::0p05::100::rhs::al::mcmc","static_shrink","normal",0.05,100,"rhs","al","mcmc","WARN","baseline","deferred_stability_review",FALSE
"static_shrink::normal::0p95::1000::rhs::exal::mcmc","static_shrink","normal",0.95,1000,"rhs","exal","mcmc","WARN","static_exal_f080_sub2_s105_rhsns_current_20260403","deferred_stability_review",FALSE
