session_name	pane_pid	log_path	current_root_hint	last_log_line	descendant_pids
mqsp_dynamic_tt5000_20260312_025039	210752	tools/merge_reports/20260312_muscat_dynamic_tt5000_20260312_025039.log	dynamic|gausmix|0.25|5000|	2026-03-12 02:50:43 | models=exdqlm,dqlm taus=0.25 	210759,210776,210786,210844
mqsp_dynamic_tt500_20260312_025039	210740	tools/merge_reports/20260312_muscat_dynamic_tt500_20260312_025039.log	dynamic|laplace|0.25|500|	2026-03-12 03:13:56 | models=exdqlm,dqlm taus=0.25 	210746,210763,213385,213399
mqsp_jr_rsp100_20260312_135054	229125	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rsp100_20260312_135054.log	static_paper|gausmix|0.25|100|paper	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100 | dry_run=FALSE | cores=1 	229127,229130
mqsp_jr_rsp1k_20260312_135054	229131	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rsp1k_20260312_135054.log	static_paper|gausmix|0.25|1000|paper	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000 | dry_run=FALSE | cores=1 	229134,229141
mqsp_jr_rss100h_20260312_135054	229165	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rss100h_20260312_135054.log	static_shrink|gausmix|0.25|100|rhs	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100 | dry_run=FALSE | cores=1 	229168,229174
mqsp_jr_rss100r_20260312_135054	229143	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rss100r_20260312_135054.log	static_shrink|gausmix|0.25|100|ridge	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100 | dry_run=FALSE | cores=1 	229146,229152
mqsp_jr_rss1kh_20260312_135054	229175	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rss1kh_20260312_135054.log	static_shrink|gausmix|0.25|1000|rhs	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000 | dry_run=FALSE | cores=1 	229180,229185
mqsp_jr_rss1kr_20260312_135054	229154	/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/mqsp_jr_rss1kr_20260312_135054.log	static_shrink|gausmix|0.25|1000|ridge	2026-03-12 16:51:00 | static resume start | run_root=results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000 | dry_run=FALSE | cores=1 	229159,229163
mqsp_static_paper_tt1000_20260312_024859	210257	tools/merge_reports/20260312_muscat_static_paper_tt1000_20260312_024859.log	static_paper|laplace|0.25|1000|	2026-03-12 02:56:00 | models=exal,al taus=0.25 	210261,210273,212835,212855
mqsp_static_paper_tt100_20260312_024859	210243	tools/merge_reports/20260312_muscat_static_paper_tt100_20260312_024859.log	static_paper|laplace|0.25|100|	2026-03-12 02:54:58 | models=exal,al taus=0.25 	210245,210255,212450,212512
mqsp_static_shrink_rhs_tt1000_20260312_025039	210732	tools/merge_reports/20260312_muscat_static_shrink_rhs_tt1000_20260312_025039.log	static_shrink|laplace|0.25|1000|rhs	2026-03-12 03:01:48 | models=exal,al taus=0.25 	210738,210755,213196,213214
mqsp_static_shrink_rhs_tt100_20260312_024859	210302	tools/merge_reports/20260312_muscat_static_shrink_rhs_tt100_20260312_024859.log	static_shrink|laplace|0.25|100|rhs	2026-03-12 02:59:12 | models=exal,al taus=0.25 	210305,210317,213087,213113
mqsp_static_shrink_ridge_tt1000_20260312_025039	210725	tools/merge_reports/20260312_muscat_static_shrink_ridge_tt1000_20260312_025039.log	static_shrink|laplace|0.25|1000|ridge	2026-03-12 02:57:40 | models=exal,al taus=0.25 	210728,210739,213015,213033
mqsp_static_shrink_ridge_tt100_20260312_024859	210281	tools/merge_reports/20260312_muscat_static_shrink_ridge_tt100_20260312_024859.log	static_shrink|laplace|0.25|100|ridge	2026-03-12 02:54:53 | models=exal,al taus=0.25 	210284,210297,212426,212444
