"row_id","base_row_id","original_case_key","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","method_profile_id","seed","status_current","error_current","gate_current","healthy_current","runtime_sec_current","retention_mode","fit_retained","draws_retained","vb_init_retained","plot_summary_path","plot_summary_exists","parameter_summary_path","parameter_summary_exists","lightweight_ready","crps_metric","primary_accuracy_metric","q_rmse_metric","coverage95_metric","coverage95_gap_metric","mean_ci_width_metric","cie_metric","beta_rmse_mean_metric","beta_coverage_gap_metric","metric_source","metric_error"
137,137,"static_paper::normal::0p50::100::paper::al::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",100,"paper","al","vb","static_paper__paper__al__vb",188580,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0137_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0137_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,139,"static_paper::normal::0p50::100::paper::exal::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",100,"paper","exal","vb","static_paper__paper__exal__vb",198835,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0139_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0139_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,141,"static_paper::normal::0p50::1000::paper::al::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",1000,"paper","al","vb","static_paper__paper__al__vb",191421,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0141_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0141_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,143,"static_paper::normal::0p50::1000::paper::exal::vb","smoke_static_vb",1,"static","static_paper","normal",0.5,"0p50",1000,"paper","exal","vb","static_paper__paper__exal__vb",201897,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0143_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0143_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,273,"static_shrink::normal::0p50::100::ridge::al::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"ridge","al","vb","static_shrink__ridge__al__vb",192265,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0273_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0273_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,275,"static_shrink::normal::0p50::100::ridge::exal::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"ridge","exal","vb","static_shrink__ridge__exal__vb",202741,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0275_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0275_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,277,"static_shrink::normal::0p50::100::rhs_ns::al::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"rhs_ns","al","vb","static_shrink__rhs_ns__al__vb",198084,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0277_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0277_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,279,"static_shrink::normal::0p50::100::rhs_ns::exal::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",100,"rhs_ns","exal","vb","static_shrink__rhs_ns__exal__vb",208781,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0279_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0279_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,281,"static_shrink::normal::0p50::1000::ridge::al::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",1000,"ridge","al","vb","static_shrink__ridge__al__vb",195141,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0281_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0281_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,283,"static_shrink::normal::0p50::1000::ridge::exal::vb","smoke_static_vb",1,"static","static_shrink","normal",0.5,"0p50",1000,"ridge","exal","vb","static_shrink__ridge__exal__vb",205838,"not_started",NA,"MISSING",FALSE,NA,"comparison_plus_plot",FALSE,FALSE,FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/plot_summaries/row_0283_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260429_p90_dynamic72_qdesn_comparable_v2_timeorigin/parameter_summaries/row_0283_parameter_summary.csv",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
