root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action
root__dynamic__gausmix__tau_0p05__lasttt_5000	mcmc	exdqlm	dynamic	gausmix	0.05	5000	default	high_autocorrelation; geweke_drift; half_chain_drift	aggressive_policy_only_rescue	5000	4.36268530051588	3.64247204853317	441.105923518722	0.995759837637733	0.998543780726072	-0.186907926449303	8.37384591274336	5.42374790950603	4.82841571567695	1.31376823410026	1.34840863043927	0.172072263470044	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__gausmix__tau_0p25__lasttt_5000	mcmc	exdqlm	dynamic	gausmix	0.25	5000	default	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	6.44030057761984	1.92093117206555	496.1893080972	0.987189081269586	0.996161668652682	-0.187748933892239	1.34550627553589	1.42635743090556	5.76039596084416	1.46861266384482	1.44534706026193	0.169254261643533	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__laplace__tau_0p25__lasttt_5000	mcmc	exdqlm	dynamic	laplace	0.25	5000	default	half_chain_drift	aggressive_policy_only_rescue	1000	9.40905583256593	3.89702766152014	469.68702822162	0.981338792788326	0.99222845128922	-0.187423282639173	4.28743735513203	6.73082570439805	6.19844666653535	1.04051859459066	1.38792075322225	0.171273969462164	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__laplace__tau_0p95__lasttt_5000	mcmc	exdqlm	dynamic	laplace	0.95	5000	default	half_chain_drift	aggressive_policy_only_rescue	1000	13.3451837590614	18.1706737693297	565.642997775469	0.973635085801149	0.964272089001875	-0.189208818726723	5.52177016523923	0.653706404694771	7.32897734114842	1.42739196624352	0.378772321370341	0.165536530568083	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__normal__tau_0p05__lasttt_5000	mcmc	exdqlm	dynamic	normal	0.05	5000	default	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue	1000	3.94358383121277	2.61284195454396	255.861406137662	0.992135972888728	0.994782725507605	-0.182304327765938	6.4274366390194	9.15809478076514	5.62849067569092	1.40775538501808	1.39490862145358	0.20754987435818	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__normal__tau_0p25__lasttt_5000	mcmc	exdqlm	dynamic	normal	0.25	5000	default	half_chain_drift	aggressive_policy_only_rescue	1000	9.20451546577482	4.03102205117809	260.524351289838	0.981740759015979	0.99196231026673	-0.182601610134291	5.03980827459264	3.99703069377885	5.78047688854676	0.963247733441068	1.2336342764424	0.206565982241274	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	hold_out_from_policy_rescue
root__dynamic__normal__tau_0p95__lasttt_500	mcmc	exdqlm	dynamic	normal	0.95	500	default	geweke_drift	aggressive_policy_only_rescue	1000	12.3366171042596	16.7586306159955	99.1458633746958	0.976277697965343	0.97114555669252	-0.176827549040554	4.68963326167003	3.12598111168956	8.7835975365884	0.0199414238014968	0.94700757300442	0.256016989863374	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	hold_out_from_policy_rescue
root__static_paper__gausmix__tau_0p05__tt_1000	mcmc	exal	static_paper	gausmix	0.05	1000	paper	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	20.4659221081258	2.1231345658416	55.2290864941457	0.959849678621801	0.995758490408595	0.895223647986364	2.57125677621181	6.9298821145495	2.12169343117865	0.76432009469927	1.22851200787779	0.290946481052818	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	hold_out_from_policy_rescue
root__static_paper__gausmix__tau_0p25__tt_100	mcmc	exal	static_paper	gausmix	0.25	100	paper	half_chain_drift	aggressive_policy_only_rescue	1000	11.1720930888885	5.29401946544895	105.604101314989	0.912693635663721	0.986674110382129	0.808792676238244	5.26654904747336	2.82293882875956	0.150801357146951	1.17548086750524	1.49040743493463	0.044261245666983	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	hold_out_from_policy_rescue
root__static_paper__gausmix__tau_0p95__tt_100	mcmc	exal	static_paper	gausmix	0.95	100	paper	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue	1000	14.4636817745577	2.28061442074077	54.3691465271112	0.971456903053366	0.996257694310394	0.867641897433492	7.73360713168047	7.83512868155367	0.486331253759219	0.947984908011329	1.38477370408174	0.219938003947281	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	hold_out_from_policy_rescue
root__static_paper__laplace__tau_0p25__tt_1000	mcmc	exal	static_paper	laplace	0.25	1000	paper	half_chain_drift	aggressive_policy_only_rescue	1000	111.636573836075	4.24085391319714	97.1804871696342	0.798968128580459	0.991545682917426	0.822692381319232	1.36463425966577	2.13019595433169	0.321711657145774	0.564328074913969	1.18564965208526	0.178197566005013	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	hold_out_from_policy_rescue
root__static_paper__laplace__tau_0p95__tt_1000	mcmc	exal	static_paper	laplace	0.95	1000	paper	low_ess	aggressive_policy_only_rescue	1000	22.5020741754096	1.403241780357	47.8747015874519	0.95594312181096	0.997194644867521	0.915826068222899	0.607460754426913	0.850094303965075	0.36052728265454	0.375939346615051	0.0313471252261255	0.302842288049758	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	hold_out_from_policy_rescue
root__static_paper__normal__tau_0p05__tt_1000	mcmc	exal	static_paper	normal	0.05	1000	paper	low_ess; high_autocorrelation	aggressive_policy_only_rescue	1000	19.9489551956623	2.3750323251036	35.635122479891	0.960844015411113	0.995256453131777	0.937531024355791	0.104538317717423	0.734624166863482	2.61277019885741	0.00766554463667842	0.103300642831492	0.45032481019466	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	hold_out_from_policy_rescue
root__static_paper__normal__tau_0p25__tt_1000	mcmc	exal	static_paper	normal	0.25	1000	paper	low_ess; high_autocorrelation; half_chain_drift	aggressive_policy_only_rescue	1000	7.46883413920849	2.05136285143386	60.9194257591613	0.963243679991377	0.99590157912207	0.885048840861388	0.116457183265543	0.513121267827289	0.708835551940168	1.04603580914906	1.24315955477323	0.131437236040986	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	hold_out_from_policy_rescue
root__static_paper__normal__tau_0p95__tt_100	mcmc	exal	static_paper	normal	0.95	100	paper	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	33.1403294464831	2.23558928716143	122.266081728026	0.935783225126405	0.995534334683767	0.781914047213975	3.05646571993785	2.16400858476073	0.166907215594697	0.82114322574987	1.40717512903674	0.0559566540303346	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	hold_out_from_policy_rescue
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	mcmc	exal	static_shrink	gausmix	0.05	100	ridge	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	23.737847589889	3.36337160237478	108.869890770376	0.944839641462726	0.993289110403542	0.803460695077303	0.393548263803923	0.813568455192914	0.452407988831214	0.627320555220179	1.37840341570404	0.0976003684104803	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	hold_out_from_policy_rescue
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	mcmc	exal	static_shrink	gausmix	0.95	100	ridge	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	32.3816472293837	4.24559244732806	57.5615050626746	0.937207184664946	0.991536276430442	0.891039831904762	0.437431309717064	3.2486172862052	1.49905760062894	0.107368591988385	1.34480132764223	0.313092004835719	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	hold_out_from_policy_rescue
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	mcmc	exal	static_shrink	gausmix	0.95	1000	rhs	half_chain_drift	aggressive_policy_only_rescue	1000	25.2323948228122	7.03893614925712	56.9778106523379	0.950729112630184	0.986006618829498	0.892085109953975	0.631747458231797	2.04681520497601	0.614432597568312	0.595928756337749	1.34304393804179	0.131781161202788	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	hold_out_from_policy_rescue
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	mcmc	exal	static_shrink	laplace	0.25	1000	ridge	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	46.7011694044726	2.72486478232115	112.20008974598	0.910679617703852	0.994559648859646	0.79805582837059	0.424882844342332	0.649039002136974	0.811195352584529	0.890465433406243	1.34252289426672	0.066287700205325	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	hold_out_from_policy_rescue
root__static_shrink__laplace__tau_0p95__tt_100__rhs	mcmc	exal	static_shrink	laplace	0.95	100	rhs	half_chain_drift	aggressive_policy_only_rescue	1000	27.558101215524	3.42091469641833	80.790987425368	0.922971881015325	0.993174687274902	0.835905872138089	1.32399889552031	0.910534244684562	0.0371759568794887	0.602895330215862	1.01858621350741	0.0134128012569213	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	hold_out_from_policy_rescue
root__static_shrink__normal__tau_0p05__tt_100__ridge	mcmc	exal	static_shrink	normal	0.05	100	ridge	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue	1000	12.1648616777337	2.61087362496518	59.4302844259673	0.975938891507471	0.994786645586618	0.88770098228262	5.2046009097012	4.07118766093361	0.559812977338595	1.27101502393357	1.21653935640554	0.0182523307861847	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	hold_out_from_policy_rescue
root__static_shrink__normal__tau_0p05__tt_1000__rhs	mcmc	exal	static_shrink	normal	0.05	1000	rhs	low_ess	aggressive_policy_only_rescue	1000	17.5855399753097	1.7595736011002	39.0441571468142	0.968463182217713	0.996483520302946	0.924773537755824	0.681036135574692	0.0680286645566183	0.826736222290597	0.722861838562274	0.988874991177525	0.340525943478235	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	hold_out_from_policy_rescue
root__static_shrink__normal__tau_0p25__tt_1000__ridge	mcmc	exal	static_shrink	normal	0.25	1000	ridge	high_autocorrelation	aggressive_policy_only_rescue	8000	17.7932342082584	5.02427300691055	536.1412874867	0.980143042265346	0.998800522390881	0.87436850140356	0.419614320263092	0.415971043421976	0.428393047947854	0.681847139780136	0.799552099939023	0.0872923318999604	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	hold_out_from_policy_rescue
root__static_shrink__normal__tau_0p95__tt_1000__rhs	mcmc	exal	static_shrink	normal	0.95	1000	rhs	low_ess; half_chain_drift	aggressive_policy_only_rescue	1000	13.6984456044563	1.47360301513395	44.4465206759185	0.972946617615254	0.997054186167283	0.914808162308723	2.86886642969098	2.19823382996178	0.515340758318051	0.652291535200892	1.33553908941069	0.134854496515057	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	hold_out_from_policy_rescue
root__static_shrink__normal__tau_0p95__tt_1000__ridge	mcmc	exal	static_shrink	normal	0.95	1000	ridge	high_autocorrelation	aggressive_policy_only_rescue	8000	72.384247983993	5.33564861553025	316.094589208143	0.979906505947233	0.998666810355513	0.923970896405482	3.44090058918201	1.45805206097728	1.15304557593343	0.215843129957802	0.0666846367592937	0.0212071972063387	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	hold_out_from_policy_rescue
