"method_profile_id","block","root_kind","prior_semantics","model","inference","fit_engine","dqlm_ind","beta_prior","stored_posterior_draws","df_value","dim_df","vb_method","vb_max_iter","vb_min_iter","vb_tol","vb_n_samp_internal","n_samp_xi","rhs_tau_warmup_iters","sts_vb_warmup_iters","sts_vb_min_postwarmup_updates","sigmagam_vb_warmup_iters","sigmagam_vb_min_postwarmup_updates","sigmagam_vb_postwarmup_damping","sigmagam_vb_postwarmup_damping_iters","init_from_vb","vb_init_profile_id","vb_init_method","vb_init_max_iter","vb_init_min_iter","vb_init_tol","vb_init_n_samp","vb_init_n_samp_xi","vb_init_rhs_tau_warmup_iters","vb_init_sts_warmup_iters","vb_init_sts_min_postwarmup_updates","vb_init_sigmagam_warmup_iters","vb_init_sigmagam_min_postwarmup_updates","vb_init_sigmagam_postwarmup_damping","vb_init_sigmagam_postwarmup_damping_iters","vb_init_require_theta_finite","vb_init_require_post_pred_finite","vb_init_require_sfe_finite","vb_init_require_sigma_finite","vb_init_require_gamma_finite","n_burn","n_mcmc","thin","theta_state_warmup_iters","theta_state_force_after_warmup","latent_state_mode","latent_state_warmup_iters","latent_state_force_after_warmup","dqlm_sigma_warmup_iters","dqlm_sigma_force_after_warmup","sigmagam_mcmc_warmup_iters","sigmagam_mcmc_delay_adapt","sigmagam_mcmc_delay_laplace_refresh","mh_proposal","slice_width","slice_max_steps","mcmc_use_cpp","mcmc_cpp_mode","mh_adapt","trace_diagnostics","trace_every","ld_control_profile","notes"
"exdqlm_tt5000_recovery__arm_B_prod","dynamic","dynamic","default","exdqlm","mcmc","exdqlmMCMC",FALSE,NA,20000,0.98,"2,4","ldvb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"runtime_dynamic_ldvb_init","ldvb",800,80,0.01,5000,NA,NA,50,5,50,5,0.5,5,TRUE,TRUE,TRUE,TRUE,TRUE,5000,20000,1,0,FALSE,"u_st_pair",0,FALSE,NA,FALSE,0,FALSE,FALSE,"slice",0.1,Inf,TRUE,"strict",TRUE,TRUE,50,"dynamic_ldvb_init_and_slice","Production-budget confirmatory strict-only arm promoted from the row-8 microscope result"
"exdqlm_tt5000_recovery__arm_D_prod","dynamic","dynamic","default","exdqlm","mcmc","exdqlmMCMC",FALSE,NA,20000,0.98,"2,4","ldvb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"runtime_dynamic_ldvb_init","ldvb",800,80,0.01,5000,NA,NA,50,5,50,5,0.5,5,TRUE,TRUE,TRUE,TRUE,TRUE,5000,20000,1,100,TRUE,"u_st_pair",100,TRUE,NA,FALSE,0,FALSE,FALSE,"slice",0.1,Inf,TRUE,"strict",TRUE,TRUE,50,"dynamic_ldvb_init_and_slice","Production-budget strict + theta100 + latent100 arm promoted from the winning row-8 microscope result"
